,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2,4,0,116,42,29.00,219,52.96,0,0,0,16,1
vs South Africa,2,4,0,116,42,29.00,219,52.96,0,0,0,16,1
in West Indies,2,4,0,116,42,29.00,219,52.96,0,0,0,16,1
in Americas,2,4,0,116,42,29.00,219,52.96,0,0,0,16,1
home,2,4,0,116,42,29.00,219,52.96,0,0,0,16,1
year 2024,2,4,0,116,42,29.00,219,52.96,0,0,0,16,1
season 2024,2,4,0,116,42,29.00,219,52.96,0,0,0,16,1
*KC Brathwaite,2,4,0,116,42,29.00,219,52.96,0,0,0,16,1
is not captain,2,4,0,116,42,29.00,219,52.96,0,0,0,16,1
is not keeper,2,4,0,116,42,29.00,219,52.96,0,0,0,16,1
lost the toss,2,4,0,116,42,29.00,219,52.96,0,0,0,16,1
lost toss & fielded,2,4,0,116,42,29.00,219,52.96,0,0,0,16,1
matches fielding first,2,4,0,116,42,29.00,219,52.96,0,0,0,16,1
1st team innings,2,2,0,68,42,34.00,118,57.62,0,0,0,9,1
2nd team innings,2,2,0,48,31,24.00,101,47.52,0,0,0,7,0
2nd match innings,2,2,0,68,42,34.00,118,57.62,0,0,0,9,1
4th match innings,2,2,0,48,31,24.00,101,47.52,0,0,0,7,0
lost match,1,2,0,43,26,21.50,84,51.19,0,0,0,7,1
drawn match,1,2,0,73,42,36.50,135,54.07,0,0,0,9,0
lost fielding first,1,2,0,43,26,21.50,84,51.19,0,0,0,7,1
drawn fielding first,1,2,0,73,42,36.50,135,54.07,0,0,0,9,0
2 team series,2,4,0,116,42,29.00,219,52.96,0,0,0,16,1
5+ team tournaments,2,4,0,116,42,29.00,219,52.96,0,0,0,16,1
1st match in series,1,2,0,73,42,36.50,135,54.07,0,0,0,9,0
2nd match in series,1,2,0,43,26,21.50,84,51.19,0,0,0,7,1
ICC World Test Champ,2,4,0,116,42,29.00,219,52.96,0,0,0,16,1
3rd position,2,4,0,116,42,29.00,219,52.96,0,0,0,16,1
