,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
overview,2018-2019,11,11,80.0,2,465,15,3/13,31.00,5.81,32.0,0,0
vs Afghanistan,2018-2018,1,1,10.0,1,45,1,1/45,45.00,4.50,60.0,0,0
vs Australia,2019-2019,1,1,8.0,0,55,0,-,-,6.87,-,0,0
vs Hong Kong,2018-2018,1,1,10.0,0,48,3,3/48,16.00,4.80,20.0,0,0
vs New Zealand,2019-2019,1,1,3.0,0,19,0,-,-,6.33,-,0,0
vs West Indies,2018-2019,7,7,49.0,1,298,11,3/13,27.09,6.08,26.7,0,0
in Australia,2019-2019,1,1,8.0,0,55,0,-,-,6.87,-,0,0
in India,2018-2018,4,4,32.0,1,171,7,3/13,24.42,5.34,27.4,0,0
in New Zealand,2019-2019,1,1,3.0,0,19,0,-,-,6.33,-,0,0
in U.A.E.,2018-2018,2,2,20.0,1,93,4,3/48,23.25,4.65,30.0,0,0
in West Indies,2019-2019,3,3,17.0,0,127,4,3/68,31.75,7.47,25.5,0,0
in Americas,2019-2019,3,3,17.0,0,127,4,3/68,31.75,7.47,25.5,0,0
in Asia,2018-2018,6,6,52.0,2,264,11,3/13,24.00,5.07,28.3,0,0
in Oceania,2019-2019,2,2,11.0,0,74,0,-,-,6.72,-,0,0
home,2018-2018,4,4,32.0,1,171,7,3/13,24.42,5.34,27.4,0,0
away,2019-2019,5,5,28.0,0,201,4,3/68,50.25,7.17,42.0,0,0
neutral,2018-2018,2,2,20.0,1,93,4,3/48,23.25,4.65,30.0,0,0
year 2018,,6,6,52.0,2,264,11,3/13,24.00,5.07,28.3,0,0
year 2019,,5,5,28.0,0,201,4,3/68,50.25,7.17,42.0,0,0
season 2018,,2,2,20.0,1,93,4,3/48,23.25,4.65,30.0,0,0
season 2018/19,,6,6,43.0,1,245,7,3/13,35.00,5.69,36.8,0,0
season 2019,,3,3,17.0,0,127,4,3/68,31.75,7.47,25.5,0,0
*MS Dhoni,2018-2018,1,1,10.0,1,45,1,1/45,45.00,4.50,60.0,0,0
*V Kohli,2018-2019,8,8,57.0,1,353,11,3/13,32.09,6.19,31.0,0,0
*RG Sharma,2018-2019,2,2,13.0,0,67,3,3/48,22.33,5.15,26.0,0,0
is not captain,2018-2019,11,11,80.0,2,465,15,3/13,31.00,5.81,32.0,0,0
is not keeper,2018-2019,11,11,80.0,2,465,15,3/13,31.00,5.81,32.0,0,0
won the toss,2018-2019,5,5,35.0,0,201,6,3/13,33.50,5.74,35.0,0,0
lost the toss,2018-2019,6,6,45.0,2,264,9,3/48,29.33,5.86,30.0,0,0
won toss & batted,2018-2019,2,2,12.0,0,45,4,3/13,11.25,3.75,18.0,0,0
won toss & fielded,2018-2019,3,3,23.0,0,156,2,1/64,78.00,6.78,69.0,0,0
lost toss & sent in,2018-2019,2,2,13.0,0,67,3,3/48,22.33,5.15,26.0,0,0
lost toss & fielded,2018-2019,4,4,32.0,2,197,6,3/68,32.83,6.15,32.0,0,0
matches batting first,2018-2019,4,4,25.0,0,112,7,3/13,16.00,4.48,21.4,0,0
matches fielding first,2018-2019,7,7,55.0,2,353,8,3/68,44.12,6.41,41.2,0,0
1st team innings,2018-2019,11,11,80.0,2,465,15,3/13,31.00,5.81,32.0,0,0
1st match innings,2018-2019,7,7,55.0,2,353,8,3/68,44.12,6.41,41.2,0,0
2nd match innings,2018-2019,4,4,25.0,0,112,7,3/13,16.00,4.48,21.4,0,0
day match,2018-2019,5,5,37.0,1,220,8,3/48,27.50,5.94,27.7,0,0
day/night match,2018-2019,6,6,43.0,1,245,7,3/13,35.00,5.69,36.8,0,0
won match,2018-2019,6,6,46.0,1,254,13,3/13,19.53,5.52,21.2,0,0
lost match,2018-2019,3,3,21.0,0,139,1,1/65,139.00,6.61,126.0,0,0
tied match,2018-2018,1,1,10.0,1,45,1,1/45,45.00,4.50,60.0,0,0
no result,2019-2019,1,1,3.0,0,27,0,-,-,9.00,-,0,0
won batting first,2018-2019,3,3,22.0,0,93,7,3/13,13.28,4.22,18.8,0,0
won fielding first,2018-2019,3,3,24.0,1,161,6,3/68,26.83,6.70,24.0,0,0
lost batting first,2019-2019,1,1,3.0,0,19,0,-,-,6.33,-,0,0
lost fielding first,2018-2019,2,2,18.0,0,120,1,1/65,120.00,6.66,108.0,0,0
tied fielding first,2018-2018,1,1,10.0,1,45,1,1/45,45.00,4.50,60.0,0,0
no result fielding first,2019-2019,1,1,3.0,0,27,0,-,-,9.00,-,0,0
2 team series,2018-2019,9,9,60.0,1,372,11,3/13,33.81,6.20,32.7,0,0
5+ team tournaments,2018-2018,2,2,20.0,1,93,4,3/48,23.25,4.65,30.0,0,0
1st match in series,2018-2019,3,3,21.0,0,146,1,1/64,146.00,6.95,126.0,0,0
2nd match in series,2019-2019,1,1,7.0,0,32,1,1/32,32.00,4.57,42.0,0,0
3rd match in series,2018-2019,2,2,17.0,0,133,4,3/68,33.25,7.82,25.5,0,0
4th match in series,2018-2019,2,2,8.0,0,32,3,3/13,10.66,4.00,16.0,0,0
5th match in series,2018-2018,1,1,7.0,1,29,2,2/29,14.50,4.14,21.0,0,0
Asia Cup (ODI),2018-2018,2,2,20.0,1,93,4,3/48,23.25,4.65,30.0,0,0
1st position,2018-2018,1,1,10.0,1,45,1,1/45,45.00,4.50,60.0,0,0
2nd position,2018-2019,3,3,21.0,0,122,3,3/48,40.66,5.80,42.0,0,0
3rd position,2018-2019,7,7,49.0,1,298,11,3/13,27.09,6.08,26.7,0,0
