,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
overview,2,2,7.0,0,43,2,2/20,21.50,6.14,21.0,0,0
vs IRE Women,1,1,2.0,0,23,0,-,-,11.50,-,0,0
vs PNG Women,1,1,5.0,0,20,2,2/20,10.00,4.00,15.0,0,0
in Zimbabwe,2,2,7.0,0,43,2,2/20,21.50,6.14,21.0,0,0
in Africa,2,2,7.0,0,43,2,2/20,21.50,6.14,21.0,0,0
home,2,2,7.0,0,43,2,2/20,21.50,6.14,21.0,0,0
year 2024,2,2,7.0,0,43,2,2/20,21.50,6.14,21.0,0,0
season 2023/24,2,2,7.0,0,43,2,2/20,21.50,6.14,21.0,0,0
*M Musonda,2,2,7.0,0,43,2,2/20,21.50,6.14,21.0,0,0
is not captain,2,2,7.0,0,43,2,2/20,21.50,6.14,21.0,0,0
is not keeper,2,2,7.0,0,43,2,2/20,21.50,6.14,21.0,0,0
won the toss,1,1,5.0,0,20,2,2/20,10.00,4.00,15.0,0,0
lost the toss,1,1,2.0,0,23,0,-,-,11.50,-,0,0
won toss & fielded,1,1,5.0,0,20,2,2/20,10.00,4.00,15.0,0,0
lost toss & sent in,1,1,2.0,0,23,0,-,-,11.50,-,0,0
matches batting first,1,1,2.0,0,23,0,-,-,11.50,-,0,0
matches fielding first,1,1,5.0,0,20,2,2/20,10.00,4.00,15.0,0,0
1st team innings,2,2,7.0,0,43,2,2/20,21.50,6.14,21.0,0,0
1st match innings,1,1,5.0,0,20,2,2/20,10.00,4.00,15.0,0,0
2nd match innings,1,1,2.0,0,23,0,-,-,11.50,-,0,0
won match,1,1,5.0,0,20,2,2/20,10.00,4.00,15.0,0,0
lost match,1,1,2.0,0,23,0,-,-,11.50,-,0,0
won fielding first,1,1,5.0,0,20,2,2/20,10.00,4.00,15.0,0,0
lost batting first,1,1,2.0,0,23,0,-,-,11.50,-,0,0
2 team series,2,2,7.0,0,43,2,2/20,21.50,6.14,21.0,0,0
1st match in series,1,1,2.0,0,23,0,-,-,11.50,-,0,0
2nd match in series,1,1,5.0,0,20,2,2/20,10.00,4.00,15.0,0,0
2nd position,1,1,5.0,0,20,2,2/20,10.00,4.00,15.0,0,0
7th position,1,1,2.0,0,23,0,-,-,11.50,-,0,0
