,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,1,1,0,16,16,16.00,12,133.33,0,0,0,2,1
vs Afghanistan,1,1,0,16,16,16.00,12,133.33,0,0,0,2,1
in China,1,1,0,16,16,16.00,12,133.33,0,0,0,2,1
in Asia,1,1,0,16,16,16.00,12,133.33,0,0,0,2,1
neutral,1,1,0,16,16,16.00,12,133.33,0,0,0,2,1
year 2023,1,1,0,16,16,16.00,12,133.33,0,0,0,2,1
season 2023,1,1,0,16,16,16.00,12,133.33,0,0,0,2,1
*SSD Arachchige,1,1,0,16,16,16.00,12,133.33,0,0,0,2,1
is not captain,1,1,0,16,16,16.00,12,133.33,0,0,0,2,1
is not keeper,1,1,0,16,16,16.00,12,133.33,0,0,0,2,1
won the toss,1,1,0,16,16,16.00,12,133.33,0,0,0,2,1
won toss & fielded,1,1,0,16,16,16.00,12,133.33,0,0,0,2,1
matches fielding first,1,1,0,16,16,16.00,12,133.33,0,0,0,2,1
1st team innings,1,1,0,16,16,16.00,12,133.33,0,0,0,2,1
2nd match innings,1,1,0,16,16,16.00,12,133.33,0,0,0,2,1
lost match,1,1,0,16,16,16.00,12,133.33,0,0,0,2,1
lost fielding first,1,1,0,16,16,16.00,12,133.33,0,0,0,2,1
5+ team tournaments,1,1,0,16,16,16.00,12,133.33,0,0,0,2,1
2nd position,1,1,0,16,16,16.00,12,133.33,0,0,0,2,1
