,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2010-2024,60,54,6,1060,109,22.08,1771,59.85,1,3,4,91,0
vs AUS Women,2023-2023,2,2,0,54,36,27.00,72,75.00,0,0,0,5,0
vs BAN Women,2012-2017,5,4,1,76,37,25.33,153,49.67,0,0,0,8,0
vs ENG Women,2010-2010,1,1,0,43,43,43.00,90,47.77,0,0,0,5,0
vs India Women,2017-2017,3,3,0,45,21,15.00,156,28.84,0,0,0,5,0
vs NL Women,2010-2022,8,7,2,141,109,28.20,191,73.82,1,0,1,11,0
vs NZ Women,2010-2018,4,4,0,75,37,18.75,143,52.44,0,0,1,7,0
vs PAK Women,2010-2022,11,11,1,179,69,17.90,328,54.57,0,1,1,11,0
vs SCO Women,2023-2023,3,3,1,69,41,34.50,67,102.98,0,0,1,8,0
vs SA Women,2010-2017,7,6,1,74,40*,14.80,163,45.39,0,0,0,8,0
vs SL Women,2010-2017,3,2,0,30,15,15.00,75,40.00,0,0,0,0,0
vs WI Women,2010-2023,6,6,0,63,40,10.50,114,55.26,0,0,0,3,0
vs ZIM Women,2021-2024,7,5,0,211,88,42.20,219,96.34,0,2,0,20,0
in Bangladesh,2011-2011,3,3,2,31,16*,31.00,83,37.34,0,0,0,2,0
in England,2010-2013,3,3,0,49,43,16.33,108,45.37,0,0,1,6,0
in Ireland,2012-2023,15,13,1,184,37,15.33,337,54.59,0,0,1,16,0
in Netherlands,2011-2022,4,4,1,125,109,41.66,150,83.33,1,0,1,11,0
in Pakistan,2022-2022,3,3,0,115,69,38.33,167,68.86,0,1,0,8,0
in Qatar,2014-2014,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0
in Scotland,2010-2010,1,1,0,1,1,1.00,2,50.00,0,0,0,0,0
in South Africa,2010-2017,8,7,1,111,40*,18.50,272,40.80,0,0,0,9,0
in Spain,2023-2023,3,3,1,69,41,34.50,67,102.98,0,0,1,8,0
in Sri Lanka,2011-2017,8,7,0,108,37,15.42,277,38.98,0,0,0,9,0
in West Indies,2023-2023,3,3,0,48,40,16.00,66,72.72,0,0,0,2,0
in Zimbabwe,2021-2024,8,6,0,218,88,36.33,237,91.98,0,2,0,20,0
in Africa,2010-2024,16,13,1,329,88,27.41,509,64.63,0,2,0,29,0
in Americas,2023-2023,3,3,0,48,40,16.00,66,72.72,0,0,0,2,0
in Asia,2011-2022,15,14,2,255,69,21.25,532,47.93,0,1,0,19,0
in Europe,2010-2023,26,24,3,428,109,20.38,664,64.45,1,0,4,41,0
home,2012-2023,15,13,1,184,37,15.33,337,54.59,0,0,1,16,0
away,2010-2024,22,19,2,620,109,36.47,865,71.67,1,3,1,53,0
neutral,2010-2023,23,22,3,256,41,13.47,569,44.99,0,0,2,22,0
year 2010,,8,7,1,108,43,18.00,231,46.75,0,0,1,8,0
year 2011,,7,6,2,70,20,17.50,192,36.45,0,0,0,3,0
year 2012,,3,3,1,19,13,9.50,41,46.34,0,0,0,0,0
year 2013,,2,2,0,6,6,3.00,20,30.00,0,0,1,1,0
year 2014,,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0
year 2016,,6,4,0,36,26,9.00,79,45.56,0,0,0,4,0
year 2017,,8,8,0,128,37,16.00,348,36.78,0,0,0,15,0
year 2018,,3,3,0,75,37,25.00,140,53.57,0,0,0,7,0
year 2021,,5,4,0,198,88,49.50,192,103.12,0,2,0,20,0
year 2022,,6,6,1,228,109,45.60,273,83.51,1,1,1,18,0
year 2023,,8,8,1,171,41,24.42,205,83.41,0,0,1,15,0
year 2024,,3,2,0,20,12,10.00,45,44.44,0,0,0,0,0
season 2010,,3,3,0,44,43,14.66,95,46.31,0,0,1,5,0
season 2010/11,,5,4,1,64,40*,21.33,136,47.05,0,0,0,3,0
season 2011,,4,3,0,39,20,13.00,109,35.77,0,0,0,1,0
season 2011/12,,3,3,2,31,16*,31.00,83,37.34,0,0,0,2,0
season 2012,,3,3,1,19,13,9.50,41,46.34,0,0,0,0,0
season 2013,,2,2,0,6,6,3.00,20,30.00,0,0,1,1,0
season 2013/14,,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0
season 2016,,6,4,0,36,26,9.00,79,45.56,0,0,0,4,0
season 2016/17,,5,5,0,81,37,16.20,212,38.20,0,0,0,9,0
season 2017,,3,3,0,47,23,15.66,136,34.55,0,0,0,6,0
season 2018,,3,3,0,75,37,25.00,140,53.57,0,0,0,7,0
season 2021/22,,5,4,0,198,88,49.50,192,103.12,0,2,0,20,0
season 2022,,3,3,1,113,109,56.50,106,106.60,1,0,1,10,0
season 2022/23,,3,3,0,115,69,38.33,167,68.86,0,1,0,8,0
season 2023,,5,5,0,102,40,20.40,138,73.91,0,0,0,7,0
season 2023/24,,6,5,1,89,41,22.25,112,79.46,0,0,1,8,0
*L Delany,2016-2024,39,35,2,856,109,25.93,1282,66.77,1,3,2,79,0
*IMHC Joyce,2011-2014,9,9,3,69,16*,11.50,188,36.70,0,0,0,4,0
*CJ Metcalfe,2010-2011,7,5,1,71,40*,17.75,153,46.40,0,0,0,3,0
*CMA Shillington,2011-2011,1,1,0,20,20,20.00,48,41.66,0,0,0,0,0
