,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Avg,Econ,SR,5w,10w
overview,2022-2023,3,6,78.0,13,264,8,3/67,3/73,33.00,3.38,58.5,0,0
vs AUS Women,2023-2023,1,2,26.0,1,118,3,2/91,3/118,39.33,4.53,52.0,0,0
vs India Women,2023-2023,1,2,22.0,4,73,3,3/67,3/73,24.33,3.31,44.0,0,0
vs SA Women,2022-2022,1,2,30.0,8,73,2,2/47,2/73,36.50,2.43,90.0,0,0
in England,2022-2023,2,4,56.0,9,191,5,2/47,3/118,38.20,3.41,67.2,0,0
in India,2023-2023,1,2,22.0,4,73,3,3/67,3/73,24.33,3.31,44.0,0,0
in Asia,2023-2023,1,2,22.0,4,73,3,3/67,3/73,24.33,3.31,44.0,0,0
in Europe,2022-2023,2,4,56.0,9,191,5,2/47,3/118,38.20,3.41,67.2,0,0
home,2022-2023,2,4,56.0,9,191,5,2/47,3/118,38.20,3.41,67.2,0,0
away,2023-2023,1,2,22.0,4,73,3,3/67,3/73,24.33,3.31,44.0,0,0
year 2022,,1,2,30.0,8,73,2,2/47,2/73,36.50,2.43,90.0,0,0
year 2023,,2,4,48.0,5,191,6,3/67,3/73,31.83,3.97,48.0,0,0
season 2022,,1,2,30.0,8,73,2,2/47,2/73,36.50,2.43,90.0,0,0
season 2023,,1,2,26.0,1,118,3,2/91,3/118,39.33,4.53,52.0,0,0
season 2023/24,,1,2,22.0,4,73,3,3/67,3/73,24.33,3.31,44.0,0,0
*HC Knight,2022-2023,3,6,78.0,13,264,8,3/67,3/73,33.00,3.38,58.5,0,0
is not captain,2022-2023,3,6,78.0,13,264,8,3/67,3/73,33.00,3.38,58.5,0,0
is not keeper,2022-2023,3,6,78.0,13,264,8,3/67,3/73,33.00,3.38,58.5,0,0
won the toss,2022-2022,1,2,30.0,8,73,2,2/47,2/73,36.50,2.43,90.0,0,0
lost the toss,2023-2023,2,4,48.0,5,191,6,3/67,3/73,31.83,3.97,48.0,0,0
won toss & fielded,2022-2022,1,2,30.0,8,73,2,2/47,2/73,36.50,2.43,90.0,0,0
lost toss & fielded,2023-2023,2,4,48.0,5,191,6,3/67,3/73,31.83,3.97,48.0,0,0
matches fielding first,2022-2023,3,6,78.0,13,264,8,3/67,3/73,33.00,3.38,58.5,0,0
1st team innings,2022-2023,3,3,55.0,8,205,7,3/67,3/73,29.28,3.72,47.1,0,0
2nd team innings,2022-2023,3,3,23.0,5,59,1,1/27,3/73,59.00,2.56,138.0,0,0
1st match innings,2022-2023,3,3,55.0,8,205,7,3/67,3/73,29.28,3.72,47.1,0,0
3rd match innings,2022-2023,3,3,23.0,5,59,1,1/27,3/73,59.00,2.56,138.0,0,0
lost match,2023-2023,2,4,48.0,5,191,6,3/67,3/73,31.83,3.97,48.0,0,0
drawn match,2022-2022,1,2,30.0,8,73,2,2/47,2/73,36.50,2.43,90.0,0,0
lost fielding first,2023-2023,2,4,48.0,5,191,6,3/67,3/73,31.83,3.97,48.0,0,0
drawn fielding first,2022-2022,1,2,30.0,8,73,2,2/47,2/73,36.50,2.43,90.0,0,0
2 team series,2022-2023,3,6,78.0,13,264,8,3/67,3/73,33.00,3.38,58.5,0,0
only match in series,2022-2023,3,6,78.0,13,264,8,3/67,3/73,33.00,3.38,58.5,0,0
1st position,2022-2023,2,2,17.0,5,32,0,-,3/73,-,1.88,-,0,0
2nd position,2022-2023,3,4,61.0,8,232,8,3/67,3/73,29.00,3.80,45.7,0,0
