,Mat,Inns,Overs,Mdns,Runs,Wkts,Econ,5w,10w
overview,1,1,9.0,3,23,0,2.55,0,0
vs India Women,1,1,9.0,3,23,0,2.55,0,0
in India,1,1,9.0,3,23,0,2.55,0,0
in Asia,1,1,9.0,3,23,0,2.55,0,0
away,1,1,9.0,3,23,0,2.55,0,0
year 2023,1,1,9.0,3,23,0,2.55,0,0
season 2023/24,1,1,9.0,3,23,0,2.55,0,0
*AJ Healy,1,1,9.0,3,23,0,2.55,0,0
is not captain,1,1,9.0,3,23,0,2.55,0,0
is not keeper,1,1,9.0,3,23,0,2.55,0,0
won the toss,1,1,9.0,3,23,0,2.55,0,0
won toss & batted,1,1,9.0,3,23,0,2.55,0,0
matches batting first,1,1,9.0,3,23,0,2.55,0,0
1st team innings,1,1,9.0,3,23,0,2.55,0,0
2nd team innings,1,-,-,-,-,-,-,-,-
2nd match innings,1,1,9.0,3,23,0,2.55,0,0
4th match innings,1,-,-,-,-,-,-,-,-
lost match,1,1,9.0,3,23,0,2.55,0,0
lost batting first,1,1,9.0,3,23,0,2.55,0,0
2 team series,1,1,9.0,3,23,0,2.55,0,0
only match in series,1,1,9.0,3,23,0,2.55,0,0
1st position,1,1,9.0,3,23,0,2.55,0,0
