,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2023-2024,12,10,2,419,100*,52.37,375,111.73,1,2,0,63,4
vs NZ Women,2024-2024,6,6,1,256,100*,51.20,236,108.47,1,1,0,40,2
vs PAK Women,2024-2024,3,2,0,51,34,25.50,57,89.47,0,0,0,8,0
vs SL Women,2023-2023,3,2,1,112,95,112.00,82,136.58,0,1,0,15,2
in England,2023-2024,9,7,2,349,100*,69.80,297,117.50,1,2,0,52,4
in New Zealand,2024-2024,3,3,0,70,31,23.33,78,89.74,0,0,0,11,0
in Europe,2023-2024,9,7,2,349,100*,69.80,297,117.50,1,2,0,52,4
in Oceania,2024-2024,3,3,0,70,31,23.33,78,89.74,0,0,0,11,0
home,2023-2024,9,7,2,349,100*,69.80,297,117.50,1,2,0,52,4
away,2024-2024,3,3,0,70,31,23.33,78,89.74,0,0,0,11,0
year 2023,,3,2,1,112,95,112.00,82,136.58,0,1,0,15,2
year 2024,,9,8,1,307,100*,43.85,293,104.77,1,1,0,48,2
season 2023,,3,2,1,112,95,112.00,82,136.58,0,1,0,15,2
season 2023/24,,3,3,0,70,31,23.33,78,89.74,0,0,0,11,0
season 2024,,6,5,1,237,100*,59.25,215,110.23,1,1,0,37,2
*HC Knight,2023-2024,11,9,2,324,100*,46.28,310,104.51,1,1,0,51,2
*Nat Sciver-Brunt,2023-2023,1,1,0,95,95,95.00,65,146.15,0,1,0,12,2
is not captain,2023-2024,12,10,2,419,100*,52.37,375,111.73,1,2,0,63,4
is not keeper,2023-2024,12,10,2,419,100*,52.37,375,111.73,1,2,0,63,4
won the toss,2023-2024,8,7,2,240,100*,48.00,236,101.69,1,0,0,37,1
lost the toss,2023-2024,4,3,0,179,95,59.66,139,128.77,0,2,0,26,3
won toss & batted,2024-2024,3,3,0,73,34,24.33,80,91.25,0,0,0,12,0
won toss & fielded,2023-2024,5,4,2,167,100*,83.50,156,107.05,1,0,0,25,1
lost toss & sent in,2023-2024,2,2,0,112,95,56.00,89,125.84,0,1,0,14,2
lost toss & fielded,2024-2024,2,1,0,67,67,67.00,50,134.00,0,1,0,12,1
matches batting first,2023-2024,5,5,0,185,95,37.00,169,109.46,0,1,0,26,2
matches fielding first,2023-2024,7,5,2,234,100*,78.00,206,113.59,1,1,0,37,2
1st team innings,2023-2024,10,10,2,419,100*,52.37,375,111.73,1,2,0,63,4
1st match innings,2023-2024,5,5,0,185,95,37.00,169,109.46,0,1,0,26,2
2nd match innings,2023-2024,5,5,2,234,100*,78.00,206,113.59,1,1,0,37,2
day match,2023-2024,7,6,2,282,100*,70.50,248,113.70,1,1,0,43,2
day/night match,2024-2024,5,4,0,137,67,34.25,127,107.87,0,1,0,20,2
won match,2023-2024,9,9,2,400,100*,57.14,358,111.73,1,2,0,60,4
lost match,2024-2024,1,1,0,19,19,19.00,17,111.76,0,0,0,3,0
no result,2023-2024,2,-,-,-,-,-,-,-,-,-,-,-,-
won batting first,2023-2024,4,4,0,166,95,41.50,152,109.21,0,1,0,23,2
won fielding first,2023-2024,5,5,2,234,100*,78.00,206,113.59,1,1,0,37,2
lost batting first,2024-2024,1,1,0,19,19,19.00,17,111.76,0,0,0,3,0
no result fielding first,2023-2024,2,-,-,-,-,-,-,-,-,-,-,-,-
2 team series,2023-2024,12,10,2,419,100*,52.37,375,111.73,1,2,0,63,4
5+ team tournaments,2023-2024,9,7,1,233,95,38.83,217,107.37,0,1,0,34,2
1st match in series,2023-2024,4,4,1,132,67,44.00,122,108.19,0,1,0,22,1
2nd match in series,2023-2024,4,2,1,120,100*,120.00,118,101.69,1,0,0,20,0
3rd match in series,2023-2024,4,4,0,167,95,41.75,135,123.70,0,1,0,21,3
ICC Women's Champ,2023-2024,9,7,1,233,95,38.83,217,107.37,0,1,0,34,2
2nd position,2023-2024,9,9,1,402,100*,50.25,358,112.29,1,2,0,60,4
4th position,2023-2023,1,1,1,17,17*,-,17,100.00,0,0,0,3,0
