,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Avg,Econ,SR,5w,10w
overview,2019-2024,6,11,161.4,25,612,22,5/39,8/95,27.81,3.78,44.0,1,0
vs Afghanistan,2024-2024,1,2,32.5,8,95,8,5/39,8/95,11.87,2.89,24.6,1,0
vs Bangladesh,2023-2023,1,2,23.0,2,94,3,2/64,3/94,31.33,4.08,46.0,0,0
vs England,2019-2023,2,4,48.2,10,237,6,3/32,6/98,39.50,4.90,48.3,0,0
vs Sri Lanka,2023-2023,1,1,24.3,3,95,1,1/95,1/95,95.00,3.87,147.0,0,0
vs Zimbabwe,2024-2024,1,2,33.0,2,91,4,2/42,4/91,22.75,2.75,49.5,0,0
in Bangladesh,2023-2023,1,2,23.0,2,94,3,2/64,3/94,31.33,4.08,46.0,0,0
in England,2019-2023,2,4,48.2,10,237,6,3/32,6/98,39.50,4.90,48.3,0,0
in Ireland,2024-2024,1,2,33.0,2,91,4,2/42,4/91,22.75,2.75,49.5,0,0
in Sri Lanka,2023-2023,1,1,24.3,3,95,1,1/95,1/95,95.00,3.87,147.0,0,0
in U.A.E.,2024-2024,1,2,32.5,8,95,8,5/39,8/95,11.87,2.89,24.6,1,0
in Asia,2023-2024,3,5,80.2,13,284,12,5/39,8/95,23.66,3.53,40.1,1,0
in Europe,2019-2024,3,6,81.2,12,328,10,3/32,6/98,32.80,4.03,48.8,0,0
home,2024-2024,1,2,33.0,2,91,4,2/42,4/91,22.75,2.75,49.5,0,0
away,2019-2023,4,7,95.5,15,426,10,3/32,6/98,42.60,4.44,57.5,0,0
neutral,2024-2024,1,2,32.5,8,95,8,5/39,8/95,11.87,2.89,24.6,1,0
year 2019,,1,2,27.4,8,98,6,3/32,6/98,16.33,3.54,27.6,0,0
year 2023,,3,5,68.1,7,328,4,2/64,3/94,82.00,4.81,102.2,0,0
year 2024,,2,4,65.5,10,186,12,5/39,8/95,15.50,2.82,32.9,1,0
season 2019,,1,2,27.4,8,98,6,3/32,6/98,16.33,3.54,27.6,0,0
season 2022/23,,1,2,23.0,2,94,3,2/64,3/94,31.33,4.08,46.0,0,0
season 2023,,2,3,45.1,5,234,1,1/95,1/95,234.00,5.18,271.0,0,0
season 2023/24,,1,2,32.5,8,95,8,5/39,8/95,11.87,2.89,24.6,1,0
season 2024,,1,2,33.0,2,91,4,2/42,4/91,22.75,2.75,49.5,0,0
*A Balbirnie,2023-2024,5,9,134.0,17,514,16,5/39,8/95,32.12,3.83,50.2,1,0
*WTS Porterfield,2019-2019,1,2,27.4,8,98,6,3/32,6/98,16.33,3.54,27.6,0,0
is not captain,2019-2024,6,11,161.4,25,612,22,5/39,8/95,27.81,3.78,44.0,1,0
is not keeper,2019-2024,6,11,161.4,25,612,22,5/39,8/95,27.81,3.78,44.0,1,0
won the toss,2023-2024,2,4,56.0,4,185,7,2/42,4/91,26.42,3.30,48.0,0,0
lost the toss,2019-2024,4,7,105.4,21,427,15,5/39,8/95,28.46,4.04,42.2,1,0
won toss & batted,2023-2023,1,2,23.0,2,94,3,2/64,3/94,31.33,4.08,46.0,0,0
won toss & fielded,2024-2024,1,2,33.0,2,91,4,2/42,4/91,22.75,2.75,49.5,0,0
lost toss & sent in,2023-2023,1,2,20.4,2,139,0,-,-,-,6.72,-,0,0
lost toss & fielded,2019-2024,3,5,85.0,19,288,15,5/39,8/95,19.20,3.38,34.0,1,0
matches batting first,2023-2023,2,4,43.4,4,233,3,2/64,3/94,77.66,5.33,87.3,0,0
matches fielding first,2019-2024,4,7,118.0,21,379,19,5/39,8/95,19.94,3.21,37.2,1,0
1st team innings,2019-2024,6,6,104.0,14,406,13,5/39,8/95,31.23,3.90,48.0,1,0
2nd team innings,2019-2024,5,5,57.4,11,206,9,3/56,8/95,22.88,3.57,38.4,0,0
1st match innings,2019-2024,4,4,67.0,10,215,11,5/39,8/95,19.54,3.20,36.5,1,0
2nd match innings,2023-2023,2,2,37.0,4,191,2,2/64,3/94,95.50,5.16,111.0,0,0
3rd match innings,2019-2024,3,3,51.0,11,164,8,3/56,8/95,20.50,3.21,38.2,0,0
4th match innings,2023-2023,2,2,6.4,0,42,1,1/30,3/94,42.00,6.30,40.0,0,0
won match,2024-2024,2,4,65.5,10,186,12,5/39,8/95,15.50,2.82,32.9,1,0
lost match,2019-2023,4,7,95.5,15,426,10,3/32,6/98,42.60,4.44,57.5,0,0
won fielding first,2024-2024,2,4,65.5,10,186,12,5/39,8/95,15.50,2.82,32.9,1,0
lost batting first,2023-2023,2,4,43.4,4,233,3,2/64,3/94,77.66,5.33,87.3,0,0
lost fielding first,2019-2023,2,3,52.1,11,193,7,3/32,6/98,27.57,3.69,44.7,0,0
2 team series,2019-2024,6,11,161.4,25,612,22,5/39,8/95,27.81,3.78,44.0,1,0
only match in series,2019-2024,5,10,137.1,22,517,21,5/39,8/95,24.61,3.76,39.1,1,0
1st match in series,2023-2023,1,1,24.3,3,95,1,1/95,1/95,95.00,3.87,147.0,0,0
1st position,2023-2024,5,9,134.0,17,514,16,5/39,8/95,32.12,3.83,50.2,1,0
2nd position,2019-2019,1,2,27.4,8,98,6,3/32,6/98,16.33,3.54,27.6,0,0
