,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2023-2024,6,6,0,61,19,10.16,53,115.09,0,0,0,7,1
vs Australia,2023-2023,1,1,0,5,5,5.00,7,71.42,0,0,0,1,0
vs India,2023-2023,2,2,0,20,16,10.00,10,200.00,0,0,0,2,1
vs West Indies,2024-2024,3,3,0,36,19,12.00,36,100.00,0,0,0,4,0
in South Africa,2023-2023,3,3,0,25,16,8.33,17,147.05,0,0,0,3,1
in West Indies,2024-2024,3,3,0,36,19,12.00,36,100.00,0,0,0,4,0
in Africa,2023-2023,3,3,0,25,16,8.33,17,147.05,0,0,0,3,1
in Americas,2024-2024,3,3,0,36,19,12.00,36,100.00,0,0,0,4,0
home,2023-2023,3,3,0,25,16,8.33,17,147.05,0,0,0,3,1
away,2024-2024,3,3,0,36,19,12.00,36,100.00,0,0,0,4,0
year 2023,,3,3,0,25,16,8.33,17,147.05,0,0,0,3,1
year 2024,,3,3,0,36,19,12.00,36,100.00,0,0,0,4,0
season 2023/24,,3,3,0,25,16,8.33,17,147.05,0,0,0,3,1
season 2024,,3,3,0,36,19,12.00,36,100.00,0,0,0,4,0
*AK Markram,2023-2023,3,3,0,25,16,8.33,17,147.05,0,0,0,3,1
*HE van der Dussen,2024-2024,3,3,0,36,19,12.00,36,100.00,0,0,0,4,0
is not captain,2023-2024,6,6,0,61,19,10.16,53,115.09,0,0,0,7,1
is not keeper,2023-2024,6,6,0,61,19,10.16,53,115.09,0,0,0,7,1
won the toss,2023-2024,5,5,0,49,19,9.80,37,132.43,0,0,0,7,1
lost the toss,2024-2024,1,1,0,12,12,12.00,16,75.00,0,0,0,0,0
won toss & batted,2023-2024,2,2,0,10,5,5.00,14,71.42,0,0,0,1,0
won toss & fielded,2023-2024,3,3,0,39,19,13.00,23,169.56,0,0,0,6,1
lost toss & fielded,2024-2024,1,1,0,12,12,12.00,16,75.00,0,0,0,0,0
matches batting first,2023-2024,2,2,0,10,5,5.00,14,71.42,0,0,0,1,0
matches fielding first,2023-2024,4,4,0,51,19,12.75,39,130.76,0,0,0,6,1
1st team innings,2023-2024,6,6,0,61,19,10.16,53,115.09,0,0,0,7,1
1st match innings,2023-2024,2,2,0,10,5,5.00,14,71.42,0,0,0,1,0
2nd match innings,2023-2024,4,4,0,51,19,12.75,39,130.76,0,0,0,6,1
day match,2023-2024,4,4,0,41,19,10.25,43,95.34,0,0,0,5,0
day/night match,2023-2023,2,2,0,20,16,10.00,10,200.00,0,0,0,2,1
won match,2023-2023,1,1,0,16,16,16.00,7,228.57,0,0,0,1,1
lost match,2023-2024,5,5,0,45,19,9.00,46,97.82,0,0,0,6,0
won fielding first,2023-2023,1,1,0,16,16,16.00,7,228.57,0,0,0,1,1
lost batting first,2023-2024,2,2,0,10,5,5.00,14,71.42,0,0,0,1,0
lost fielding first,2023-2024,3,3,0,35,19,11.66,32,109.37,0,0,0,5,0
2 team series,2023-2024,6,6,0,61,19,10.16,53,115.09,0,0,0,7,1
1st match in series,2024-2024,1,1,0,19,19,19.00,13,146.15,0,0,0,4,0
2nd match in series,2023-2024,2,2,0,28,16,14.00,23,121.73,0,0,0,1,1
3rd match in series,2023-2024,3,3,0,14,5,4.66,17,82.35,0,0,0,2,0
2nd position,2023-2023,2,2,0,20,16,10.00,10,200.00,0,0,0,2,1
3rd position,2023-2023,1,1,0,5,5,5.00,7,71.42,0,0,0,1,0
4th position,2024-2024,3,3,0,36,19,12.00,36,100.00,0,0,0,4,0
