,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,8,14,1,259,74*,19.92,454,57.04,0,1,1,34,2
vs England,4,8,0,142,49,17.75,247,57.48,0,0,0,19,2
vs Pakistan,2,4,1,82,74*,27.33,139,58.99,0,1,1,12,0
vs Sri Lanka,2,2,0,35,25,17.50,68,51.47,0,0,0,3,0
in England,2,4,0,96,49,24.00,163,58.89,0,0,0,15,2
in New Zealand,4,6,0,81,25,13.50,152,53.28,0,0,0,7,0
in Pakistan,2,4,1,82,74*,27.33,139,58.99,0,1,1,12,0
in Asia,2,4,1,82,74*,27.33,139,58.99,0,1,1,12,0
in Europe,2,4,0,96,49,24.00,163,58.89,0,0,0,15,2
in Oceania,4,6,0,81,25,13.50,152,53.28,0,0,0,7,0
home,4,6,0,81,25,13.50,152,53.28,0,0,0,7,0
away,4,8,1,178,74*,25.42,302,58.94,0,1,1,27,2
year 2022,3,6,0,104,49,17.33,181,57.45,0,0,0,16,2
year 2023,5,8,1,155,74*,22.14,273,56.77,0,1,1,18,0
season 2022,2,4,0,96,49,24.00,163,58.89,0,0,0,15,2
season 2022/23,6,10,1,163,74*,18.11,291,56.01,0,1,1,19,0
*TWM Latham,1,2,0,74,49,37.00,104,71.15,0,0,0,13,1
*TG Southee,6,10,1,163,74*,18.11,291,56.01,0,1,1,19,0
*KS Williamson,1,2,0,22,13,11.00,59,37.28,0,0,0,2,1
is not captain,8,14,1,259,74*,19.92,454,57.04,0,1,1,34,2
is not keeper,8,14,1,259,74*,19.92,454,57.04,0,1,1,34,2
won the toss,5,10,1,177,74*,19.66,332,53.31,0,1,1,20,1
lost the toss,3,4,0,82,49,20.50,122,67.21,0,0,0,14,1
won toss & batted,2,4,1,96,74*,32.00,180,53.33,0,1,1,13,1
won toss & fielded,3,6,0,81,25,13.50,152,53.28,0,0,0,7,0
lost toss & sent in,2,2,0,74,49,37.00,104,71.15,0,0,0,13,1
lost toss & fielded,1,2,0,8,5,4.00,18,44.44,0,0,0,1,0
matches batting first,4,6,1,170,74*,34.00,284,59.85,0,1,1,26,2
matches fielding first,4,8,0,89,25,11.12,170,52.35,0,0,0,8,0
1st team innings,8,7,0,105,49,15.00,228,46.05,0,0,1,16,0
2nd team innings,7,7,1,154,74*,25.66,226,68.14,0,1,0,18,2
1st match innings,4,3,0,62,49,20.66,135,45.92,0,0,1,11,0
2nd match innings,4,4,0,43,25,10.75,93,46.23,0,0,0,5,0
3rd match innings,4,4,1,116,74*,38.66,168,69.04,0,1,0,15,2
4th match innings,3,3,0,38,25,12.66,58,65.51,0,0,0,3,0
day match,7,12,1,227,74*,20.63,398,57.03,0,1,1,31,2
day/night match,1,2,0,32,25,16.00,56,57.14,0,0,0,3,0
won match,3,4,0,49,25,12.25,96,51.04,0,0,0,4,0
lost match,3,6,0,128,49,21.33,219,58.44,0,0,0,18,2
drawn match,2,4,1,82,74*,27.33,139,58.99,0,1,1,12,0
won batting first,1,-,-,-,-,-,-,-,-,-,-,-,-
won fielding first,2,4,0,49,25,12.25,96,51.04,0,0,0,4,0
lost batting first,2,4,0,96,49,24.00,163,58.89,0,0,0,15,2
lost fielding first,1,2,0,32,25,16.00,56,57.14,0,0,0,3,0
drawn batting first,1,2,1,74,74*,74.00,121,61.15,0,1,1,11,0
drawn fielding first,1,2,0,8,5,4.00,18,44.44,0,0,0,1,0
2 team series,8,14,1,259,74*,19.92,454,57.04,0,1,1,34,2
5+ team tournaments,6,10,1,213,74*,23.66,370,57.56,0,1,1,30,2
1st match in series,3,6,0,75,25,12.50,142,52.81,0,0,0,7,0
2nd match in series,4,6,1,162,74*,32.40,253,64.03,0,1,1,25,1
3rd match in series,1,2,0,22,13,11.00,59,37.28,0,0,0,2,1
ICC World Test Champ,6,10,1,213,74*,23.66,370,57.56,0,1,1,30,2
1st position,1,1,0,3,3,3.00,5,60.00,0,0,0,0,0
6th position,1,1,1,74,74*,-,119,62.18,0,1,0,11,0
7th position,5,7,0,139,49,19.85,229,60.69,0,0,1,19,1
8th position,3,5,0,43,13,8.60,101,42.57,0,0,0,4,1
