,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2016-2024,32,52,9,1910,171*,44.41,3465,55.12,3,10,3,203,14
vs Australia,2019-2024,7,13,2,510,104*,46.36,814,62.65,1,2,2,50,5
vs Bangladesh,2020-2024,5,7,2,362,171*,72.40,610,59.34,1,2,0,29,4
vs England,2020-2022,6,10,0,302,72,30.20,598,50.50,0,2,0,32,3
vs New Zealand,2016-2021,3,6,1,215,71,43.00,456,47.14,0,3,1,29,0
vs South Africa,2021-2021,2,3,1,166,115*,83.00,331,50.15,1,0,0,23,0
vs Sri Lanka,2019-2023,5,7,2,195,50*,39.00,301,64.78,0,1,0,21,1
vs West Indies,2021-2021,2,4,1,94,31,31.33,217,43.31,0,0,0,12,1
vs Zimbabwe,2021-2021,2,2,0,66,45,33.00,138,47.82,0,0,0,7,0
in Australia,2019-2024,4,8,0,370,95,46.25,558,66.30,0,2,1,36,4
in Bangladesh,2021-2021,2,2,1,58,53*,58.00,132,43.93,0,1,0,4,1
in England,2020-2020,3,4,0,161,72,40.25,336,47.91,0,2,0,14,1
in New Zealand,2016-2021,3,6,1,215,71,43.00,456,47.14,0,3,1,29,0
in Pakistan,2019-2024,13,21,5,776,171*,48.50,1348,57.56,3,1,1,83,6
in Sri Lanka,2022-2023,3,5,1,170,50*,42.50,280,60.71,0,1,0,18,1
in West Indies,2021-2021,2,4,1,94,31,31.33,217,43.31,0,0,0,12,1
in Zimbabwe,2021-2021,2,2,0,66,45,33.00,138,47.82,0,0,0,7,0
in Africa,2021-2021,2,2,0,66,45,33.00,138,47.82,0,0,0,7,0
in Americas,2021-2021,2,4,1,94,31,31.33,217,43.31,0,0,0,12,1
in Asia,2019-2024,18,28,7,1004,171*,47.80,1760,57.04,3,3,1,105,8
in Europe,2020-2020,3,4,0,161,72,40.25,336,47.91,0,2,0,14,1
in Oceania,2016-2024,7,14,1,585,95,45.00,1014,57.69,0,5,2,65,4
home,2019-2024,13,21,5,776,171*,48.50,1348,57.56,3,1,1,83,6
