,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2022-2024,3,5,0,114,61,22.80,274,41.60,0,1,1,16,1
vs AUS Women,2024-2024,1,2,0,5,5,2.50,9,55.55,0,0,1,1,0
vs ENG Women,2022-2022,1,1,0,9,9,9.00,36,25.00,0,0,0,1,0
vs India Women,2024-2024,1,2,0,100,61,50.00,229,43.66,0,1,0,14,1
in Australia,2024-2024,1,2,0,5,5,2.50,9,55.55,0,0,1,1,0
in England,2022-2022,1,1,0,9,9,9.00,36,25.00,0,0,0,1,0
in India,2024-2024,1,2,0,100,61,50.00,229,43.66,0,1,0,14,1
in Asia,2024-2024,1,2,0,100,61,50.00,229,43.66,0,1,0,14,1
in Europe,2022-2022,1,1,0,9,9,9.00,36,25.00,0,0,0,1,0
in Oceania,2024-2024,1,2,0,5,5,2.50,9,55.55,0,0,1,1,0
away,2022-2024,3,5,0,114,61,22.80,274,41.60,0,1,1,16,1
year 2022,,1,1,0,9,9,9.00,36,25.00,0,0,0,1,0
year 2024,,2,4,0,105,61,26.25,238,44.11,0,1,1,15,1
season 2022,,1,1,0,9,9,9.00,36,25.00,0,0,0,1,0
season 2023/24,,1,2,0,5,5,2.50,9,55.55,0,0,1,1,0
season 2024,,1,2,0,100,61,50.00,229,43.66,0,1,0,14,1
*S Luus,2022-2022,1,1,0,9,9,9.00,36,25.00,0,0,0,1,0
*L Wolvaardt,2024-2024,2,4,0,105,61,26.25,238,44.11,0,1,1,15,1
is not captain,2022-2024,3,5,0,114,61,22.80,274,41.60,0,1,1,16,1
is not keeper,2022-2024,3,5,0,114,61,22.80,274,41.60,0,1,1,16,1
lost the toss,2022-2024,3,5,0,114,61,22.80,274,41.60,0,1,1,16,1
lost toss & sent in,2022-2024,2,3,0,14,9,4.66,45,31.11,0,0,1,2,0
lost toss & fielded,2024-2024,1,2,0,100,61,50.00,229,43.66,0,1,0,14,1
matches batting first,2022-2024,2,3,0,14,9,4.66,45,31.11,0,0,1,2,0
matches fielding first,2024-2024,1,2,0,100,61,50.00,229,43.66,0,1,0,14,1
1st team innings,2022-2024,3,3,0,53,39,17.66,85,62.35,0,0,0,8,0
2nd team innings,2022-2024,3,2,0,61,61,30.50,189,32.27,0,1,1,8,1
1st match innings,2022-2024,2,2,0,14,9,7.00,41,34.14,0,0,0,2,0
2nd match innings,2024-2024,1,1,0,39,39,39.00,44,88.63,0,0,0,6,0
3rd match innings,2022-2024,3,2,0,61,61,30.50,189,32.27,0,1,1,8,1
lost match,2024-2024,2,4,0,105,61,26.25,238,44.11,0,1,1,15,1
drawn match,2022-2022,1,1,0,9,9,9.00,36,25.00,0,0,0,1,0
lost batting first,2024-2024,1,2,0,5,5,2.50,9,55.55,0,0,1,1,0
lost fielding first,2024-2024,1,2,0,100,61,50.00,229,43.66,0,1,0,14,1
drawn batting first,2022-2022,1,1,0,9,9,9.00,36,25.00,0,0,0,1,0
2 team series,2022-2024,3,5,0,114,61,22.80,274,41.60,0,1,1,16,1
only match in series,2022-2024,3,5,0,114,61,22.80,274,41.60,0,1,1,16,1
6th position,2024-2024,1,2,0,100,61,50.00,229,43.66,0,1,0,14,1
7th position,2024-2024,1,2,0,5,5,2.50,9,55.55,0,0,1,1,0
8th position,2022-2022,1,1,0,9,9,9.00,36,25.00,0,0,0,1,0
