,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Avg,Econ,SR,5w,10w
overview,2023-2024,3,6,62.4,14,237,14,4/33,7/83,16.92,3.78,26.8,0,0
vs India,2023-2024,2,4,37.4,9,154,11,4/33,7/83,14.00,4.08,20.5,0,0
vs West Indies,2024-2024,1,2,25.0,5,83,3,3/49,3/83,27.66,3.32,50.0,0,0
in South Africa,2023-2024,2,4,37.4,9,154,11,4/33,7/83,14.00,4.08,20.5,0,0
in West Indies,2024-2024,1,2,25.0,5,83,3,3/49,3/83,27.66,3.32,50.0,0,0
in Africa,2023-2024,2,4,37.4,9,154,11,4/33,7/83,14.00,4.08,20.5,0,0
in Americas,2024-2024,1,2,25.0,5,83,3,3/49,3/83,27.66,3.32,50.0,0,0
home,2023-2024,2,4,37.4,9,154,11,4/33,7/83,14.00,4.08,20.5,0,0
away,2024-2024,1,2,25.0,5,83,3,3/49,3/83,27.66,3.32,50.0,0,0
year 2023,,1,2,25.4,7,83,7,4/33,7/83,11.85,3.23,22.0,0,0
year 2024,,2,4,37.0,7,154,7,3/42,4/71,22.00,4.16,31.7,0,0
season 2023/24,,2,4,37.4,9,154,11,4/33,7/83,14.00,4.08,20.5,0,0
season 2024,,1,2,25.0,5,83,3,3/49,3/83,27.66,3.32,50.0,0,0
*T Bavuma,2023-2024,2,4,50.4,12,166,10,4/33,7/83,16.60,3.27,30.4,0,0
*D Elgar,2024-2024,1,2,12.0,2,71,4,3/42,4/71,17.75,5.91,18.0,0,0
is not captain,2023-2024,3,6,62.4,14,237,14,4/33,7/83,16.92,3.78,26.8,0,0
is not keeper,2023-2024,3,6,62.4,14,237,14,4/33,7/83,16.92,3.78,26.8,0,0
won the toss,2023-2024,3,6,62.4,14,237,14,4/33,7/83,16.92,3.78,26.8,0,0
won toss & batted,2024-2024,2,4,37.0,7,154,7,3/42,4/71,22.00,4.16,31.7,0,0
won toss & fielded,2023-2023,1,2,25.4,7,83,7,4/33,7/83,11.85,3.23,22.0,0,0
matches batting first,2024-2024,2,4,37.0,7,154,7,3/42,4/71,22.00,4.16,31.7,0,0
matches fielding first,2023-2023,1,2,25.4,7,83,7,4/33,7/83,11.85,3.23,22.0,0,0
1st team innings,2023-2024,3,3,35.4,8,141,9,3/42,7/83,15.66,3.95,23.7,0,0
2nd team innings,2023-2024,3,3,27.0,6,96,5,4/33,7/83,19.20,3.55,32.4,0,0
1st match innings,2023-2023,1,1,15.4,4,50,3,3/50,7/83,16.66,3.19,31.3,0,0
2nd match innings,2024-2024,2,2,20.0,4,91,6,3/42,4/71,15.16,4.55,20.0,0,0
3rd match innings,2023-2023,1,1,10.0,3,33,4,4/33,7/83,8.25,3.30,15.0,0,0
4th match innings,2024-2024,2,2,17.0,3,63,1,1/29,4/71,63.00,3.70,102.0,0,0
won match,2023-2024,2,4,50.4,12,166,10,4/33,7/83,16.60,3.27,30.4,0,0
lost match,2024-2024,1,2,12.0,2,71,4,3/42,4/71,17.75,5.91,18.0,0,0
won batting first,2024-2024,1,2,25.0,5,83,3,3/49,3/83,27.66,3.32,50.0,0,0
won fielding first,2023-2023,1,2,25.4,7,83,7,4/33,7/83,11.85,3.23,22.0,0,0
lost batting first,2024-2024,1,2,12.0,2,71,4,3/42,4/71,17.75,5.91,18.0,0,0
2 team series,2023-2024,3,6,62.4,14,237,14,4/33,7/83,16.92,3.78,26.8,0,0
5+ team tournaments,2023-2024,3,6,62.4,14,237,14,4/33,7/83,16.92,3.78,26.8,0,0
1st match in series,2023-2023,1,2,25.4,7,83,7,4/33,7/83,11.85,3.23,22.0,0,0
2nd match in series,2024-2024,2,4,37.0,7,154,7,3/42,4/71,22.00,4.16,31.7,0,0
ICC World Test Champ,2023-2024,3,6,62.4,14,237,14,4/33,7/83,16.92,3.78,26.8,0,0
2nd position,2023-2024,3,4,39.0,8,145,8,4/33,7/83,18.12,3.71,29.2,0,0
3rd position,2023-2024,2,2,23.4,6,92,6,3/42,7/83,15.33,3.88,23.6,0,0
