,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Avg,Econ,SR,5w,10w
overview,2019-2024,18,30,506.3,84,1825,54,5/31,6/85,33.79,3.60,56.2,1,0
vs Australia,2019-2022,3,4,84.0,19,238,7,4/58,5/81,34.00,2.83,72.0,0,0
vs Bangladesh,2020-2024,2,4,54.5,9,187,8,4/26,5/87,23.37,3.41,41.1,0,0
vs England,2020-2022,4,6,94.5,14,414,8,3/140,5/206,51.75,4.36,71.1,0,0
vs New Zealand,2020-2023,3,5,100.3,16,406,8,3/55,4/114,50.75,4.03,75.3,0,0
vs Sri Lanka,2019-2023,6,11,172.2,26,580,23,5/31,6/85,25.21,3.36,44.9,1,0
in Australia,2019-2019,1,1,20.0,1,68,1,1/68,1/68,68.00,3.40,120.0,0,0
in England,2020-2020,3,4,61.0,14,208,3,1/44,2/89,69.33,3.40,122.0,0,0
in New Zealand,2020-2021,2,3,63.3,6,292,4,3/55,4/151,73.00,4.59,95.2,0,0
in Pakistan,2019-2024,8,14,245.3,47,871,30,5/31,5/81,29.03,3.54,49.1,1,0
in Sri Lanka,2022-2023,4,8,116.3,16,386,16,3/41,6/85,24.12,3.31,43.6,0,0
in Asia,2019-2024,12,22,362.0,63,1257,46,5/31,6/85,27.32,3.47,47.2,1,0
in Europe,2020-2020,3,4,61.0,14,208,3,1/44,2/89,69.33,3.40,122.0,0,0
in Oceania,2019-2021,3,4,83.3,7,360,5,3/55,4/151,72.00,4.31,100.2,0,0
home,2019-2024,8,14,245.3,47,871,30,5/31,5/81,29.03,3.54,49.1,1,0
away,2019-2023,10,16,261.0,37,954,24,3/41,6/85,39.75,3.65,65.2,0,0
year 2019,,3,4,75.5,11,262,8,5/31,5/102,32.75,3.45,56.8,1,0
year 2020,,5,8,122.5,20,446,12,4/26,5/87,37.16,3.63,61.4,0,0
year 2021,,1,1,26.0,2,141,0,-,-,-,5.42,-,0,0
year 2022,,5,9,148.4,22,555,18,4/58,5/81,30.83,3.73,49.5,0,0
year 2023,,3,6,102.4,22,321,13,3/41,6/85,24.69,3.12,47.3,0,0
year 2024,,1,2,30.3,7,100,3,3/93,3/100,33.33,3.27,61.0,0,0
season 2019/20,,4,6,100.1,13,349,13,5/31,5/87,26.84,3.48,46.2,1,0
season 2020,,3,4,61.0,14,208,3,1/44,2/89,69.33,3.40,122.0,0,0
season 2020/21,,2,3,63.3,6,292,4,3/55,4/151,73.00,4.59,95.2,0,0
season 2021/22,,2,3,64.0,18,170,6,4/58,5/81,28.33,2.65,64.0,0,0
