,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2,4,0,66,34,16.50,129,51.16,0,0,0,11,0
vs New Zealand,2,4,0,66,34,16.50,129,51.16,0,0,0,11,0
in New Zealand,2,4,0,66,34,16.50,129,51.16,0,0,0,11,0
in Oceania,2,4,0,66,34,16.50,129,51.16,0,0,0,11,0
away,2,4,0,66,34,16.50,129,51.16,0,0,0,11,0
year 2024,2,4,0,66,34,16.50,129,51.16,0,0,0,11,0
season 2023/24,2,4,0,66,34,16.50,129,51.16,0,0,0,11,0
*N Brand,2,4,0,66,34,16.50,129,51.16,0,0,0,11,0
is captain,2,4,0,66,34,16.50,129,51.16,0,0,0,11,0
is not keeper,2,4,0,66,34,16.50,129,51.16,0,0,0,11,0
won the toss,2,4,0,66,34,16.50,129,51.16,0,0,0,11,0
won toss & batted,1,2,0,59,34,29.50,98,60.20,0,0,0,11,0
won toss & fielded,1,2,0,7,4,3.50,31,22.58,0,0,0,0,0
matches batting first,1,2,0,59,34,29.50,98,60.20,0,0,0,11,0
matches fielding first,1,2,0,7,4,3.50,31,22.58,0,0,0,0,0
1st team innings,2,2,0,29,25,14.50,61,47.54,0,0,0,5,0
2nd team innings,2,2,0,37,34,18.50,68,54.41,0,0,0,6,0
1st match innings,1,1,0,25,25,25.00,38,65.78,0,0,0,5,0
2nd match innings,1,1,0,4,4,4.00,23,17.39,0,0,0,0,0
3rd match innings,1,1,0,34,34,34.00,60,56.66,0,0,0,6,0
4th match innings,1,1,0,3,3,3.00,8,37.50,0,0,0,0,0
lost match,2,4,0,66,34,16.50,129,51.16,0,0,0,11,0
lost batting first,1,2,0,59,34,29.50,98,60.20,0,0,0,11,0
lost fielding first,1,2,0,7,4,3.50,31,22.58,0,0,0,0,0
2 team series,2,4,0,66,34,16.50,129,51.16,0,0,0,11,0
5+ team tournaments,2,4,0,66,34,16.50,129,51.16,0,0,0,11,0
1st match in series,1,2,0,7,4,3.50,31,22.58,0,0,0,0,0
2nd match in series,1,2,0,59,34,29.50,98,60.20,0,0,0,11,0
ICC World Test Champ,2,4,0,66,34,16.50,129,51.16,0,0,0,11,0
1st position,1,2,0,59,34,29.50,98,60.20,0,0,0,11,0
2nd position,1,2,0,7,4,3.50,31,22.58,0,0,0,0,0
