,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
overview,9,9,33.0,1,214,13,4/11,16.46,6.48,15.2,1,0
vs Bangladesh,1,1,4.0,0,27,0,-,-,6.75,-,0,0
vs England,1,1,3.0,0,27,1,1/27,27.00,9.00,18.0,0,0
vs Nepal,1,1,4.0,0,20,0,-,-,5.00,-,0,0
vs Netherlands,1,1,4.0,0,11,4,4/11,2.75,2.75,6.0,1,0
vs Sri Lanka,1,1,4.0,1,9,1,1/9,9.00,2.25,24.0,0,0
vs West Indies,4,4,14.0,0,120,7,3/26,17.14,8.57,12.0,0,0
in U.S.A.,3,3,12.0,1,47,5,4/11,9.40,3.91,14.4,1,0
in West Indies,6,6,21.0,0,167,8,3/26,20.87,7.95,15.7,0,0
in Americas,9,9,33.0,1,214,13,4/11,16.46,6.48,15.2,1,0
away,4,4,14.0,0,120,7,3/26,17.14,8.57,12.0,0,0
neutral,5,5,19.0,1,94,6,4/11,15.66,4.94,19.0,1,0
year 2024,9,9,33.0,1,214,13,4/11,16.46,6.48,15.2,1,0
season 2024,9,9,33.0,1,214,13,4/11,16.46,6.48,15.2,1,0
*AK Markram,8,8,29.0,1,188,10,4/11,18.80,6.48,17.4,1,0
*HE van der Dussen,1,1,4.0,0,26,3,3/26,8.66,6.50,8.0,0,0
is not captain,9,9,33.0,1,214,13,4/11,16.46,6.48,15.2,1,0
is not keeper,9,9,33.0,1,214,13,4/11,16.46,6.48,15.2,1,0
won the toss,4,4,16.0,0,96,8,4/11,12.00,6.00,12.0,1,0
lost the toss,5,5,17.0,1,118,5,2/30,23.60,6.94,20.4,0,0
won toss & batted,1,1,4.0,0,27,0,-,-,6.75,-,0,0
won toss & fielded,3,3,12.0,0,69,8,4/11,8.62,5.75,9.0,1,0
lost toss & sent in,4,4,13.0,0,109,4,2/30,27.25,8.38,19.5,0,0
lost toss & fielded,1,1,4.0,1,9,1,1/9,9.00,2.25,24.0,0,0
matches batting first,5,5,17.0,0,136,4,2/30,34.00,8.00,25.5,0,0
matches fielding first,4,4,16.0,1,78,9,4/11,8.66,4.87,10.6,1,0
1st team innings,9,9,33.0,1,214,13,4/11,16.46,6.48,15.2,1,0
1st match innings,4,4,16.0,1,78,9,4/11,8.66,4.87,10.6,1,0
2nd match innings,5,5,17.0,0,136,4,2/30,34.00,8.00,25.5,0,0
day match,8,8,29.0,1,194,13,4/11,14.92,6.68,13.3,1,0
night match,1,1,4.0,0,20,0,-,-,5.00,-,0,0
won match,5,5,19.0,1,94,6,4/11,15.66,4.94,19.0,1,0
lost match,4,4,14.0,0,120,7,3/26,17.14,8.57,12.0,0,0
won batting first,3,3,11.0,0,74,1,1/27,74.00,6.72,66.0,0,0
won fielding first,2,2,8.0,1,20,5,4/11,4.00,2.50,9.6,1,0
lost batting first,2,2,6.0,0,62,3,2/30,20.66,10.33,12.0,0,0
lost fielding first,2,2,8.0,0,58,4,3/26,14.50,7.25,12.0,0,0
2 team series,4,4,14.0,0,120,7,3/26,17.14,8.57,12.0,0,0
5+ team tournaments,5,5,19.0,1,94,6,4/11,15.66,4.94,19.0,1,0
1st match in series,1,1,4.0,0,26,3,3/26,8.66,6.50,8.0,0,0
2nd match in series,2,2,8.0,0,62,3,2/30,20.66,7.75,16.0,0,0
3rd match in series,1,1,2.0,0,32,1,1/32,32.00,16.00,12.0,0,0
Men's T20 World Cup,5,5,19.0,1,94,6,4/11,15.66,4.94,19.0,1,0
3rd position,4,4,16.0,1,67,5,4/11,13.40,4.18,19.2,1,0
4th position,5,5,17.0,0,147,8,3/26,18.37,8.64,12.7,0,0
