,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Avg,Econ,SR,5w,10w
overview,2011-2024,100,189,4361.0,889,12255,516,7/59,13/140,23.75,2.81,50.7,36,8
vs Afghanistan,2018-2018,1,2,19.4,4,59,5,4/27,5/59,11.80,3.00,23.6,0,0
vs Australia,2011-2023,22,42,1193.5,256,3234,114,7/103,12/198,28.36,2.70,62.8,7,1
vs Bangladesh,2015-2022,6,11,206.3,41,616,23,5/87,6/137,26.78,2.98,53.8,1,0
vs England,2012-2024,24,45,1063.5,171,3161,114,6/55,12/167,27.72,2.97,55.9,8,1
vs New Zealand,2012-2021,9,17,392.5,92,1019,66,7/59,13/140,15.43,2.59,35.7,6,3
vs South Africa,2013-2023,14,26,504.2,130,1270,57,7/66,12/98,22.28,2.51,53.0,5,1
vs Sri Lanka,2015-2022,11,21,453.4,87,1360,62,6/46,10/160,21.93,2.99,43.9,3,1
vs West Indies,2011-2023,13,25,526.2,108,1536,75,7/71,12/131,20.48,2.91,42.1,6,1
in Australia,2011-2021,10,18,560.4,88,1644,39,4/55,6/149,42.15,2.93,86.2,0,0
in Bangladesh,2015-2022,3,6,111.5,17,341,12,5/87,6/137,28.41,3.04,55.9,1,0
in England,2014-2021,7,11,200.1,43,506,18,4/62,7/121,28.11,2.52,66.7,0,0
in India,2011-2024,60,117,2776.0,600,7680,363,7/59,13/140,21.15,2.76,45.8,28,6
in New Zealand,2020-2020,1,1,29.0,1,99,3,3/99,3/99,33.00,3.41,58.0,0,0
in South Africa,2013-2023,7,13,201.4,39,546,11,4/113,5/191,49.63,2.70,110.0,0,0
in Sri Lanka,2015-2017,6,12,260.4,47,820,38,6/46,10/160,21.57,3.14,41.1,3,1
in West Indies,2016-2023,6,11,221.0,54,619,32,7/71,12/131,19.34,2.80,41.4,4,1
in Africa,2013-2023,7,13,201.4,39,546,11,4/113,5/191,49.63,2.70,110.0,0,0
