,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2023-2024,8,8,0,150,65,18.75,112,133.92,0,1,0,12,8
vs Austria,2023-2023,1,1,0,46,46,46.00,24,191.66,0,0,0,4,3
vs Bangladesh,2023-2023,3,3,0,26,13,8.66,24,108.33,0,0,0,5,0
vs Pakistan,2024-2024,1,1,0,7,7,7.00,8,87.50,0,0,0,0,1
vs Zimbabwe,2023-2023,3,3,0,71,65,23.66,56,126.78,0,1,0,3,4
in Bangladesh,2023-2023,3,3,0,26,13,8.66,24,108.33,0,0,0,5,0
in Ireland,2024-2024,1,1,0,7,7,7.00,8,87.50,0,0,0,0,1
in Scotland,2023-2023,1,1,0,46,46,46.00,24,191.66,0,0,0,4,3
in Zimbabwe,2023-2023,3,3,0,71,65,23.66,56,126.78,0,1,0,3,4
in Africa,2023-2023,3,3,0,71,65,23.66,56,126.78,0,1,0,3,4
in Asia,2023-2023,3,3,0,26,13,8.66,24,108.33,0,0,0,5,0
in Europe,2023-2024,2,2,0,53,46,26.50,32,165.62,0,0,0,4,4
home,2024-2024,1,1,0,7,7,7.00,8,87.50,0,0,0,0,1
away,2023-2023,6,6,0,97,65,16.16,80,121.25,0,1,0,8,4
neutral,2023-2023,1,1,0,46,46,46.00,24,191.66,0,0,0,4,3
year 2023,,7,7,0,143,65,20.42,104,137.50,0,1,0,12,7
year 2024,,1,1,0,7,7,7.00,8,87.50,0,0,0,0,1
season 2022/23,,6,6,0,97,65,16.16,80,121.25,0,1,0,8,4
season 2023,,1,1,0,46,46,46.00,24,191.66,0,0,0,4,3
season 2024,,1,1,0,7,7,7.00,8,87.50,0,0,0,0,1
*A Balbirnie,2023-2023,3,3,0,71,65,23.66,56,126.78,0,1,0,3,4
*PR Stirling,2023-2023,4,4,0,72,46,18.00,48,150.00,0,0,0,9,3
*LJ Tucker,2024-2024,1,1,0,7,7,7.00,8,87.50,0,0,0,0,1
is not captain,2023-2024,8,8,0,150,65,18.75,112,133.92,0,1,0,12,8
is not keeper,2023-2024,8,8,0,150,65,18.75,112,133.92,0,1,0,12,8
won the toss,2023-2023,3,3,0,84,65,28.00,62,135.48,0,1,0,6,4
lost the toss,2023-2024,5,5,0,66,46,13.20,50,132.00,0,0,0,6,4
won toss & fielded,2023-2023,3,3,0,84,65,28.00,62,135.48,0,1,0,6,4
lost toss & sent in,2023-2024,4,4,0,59,46,14.75,41,143.90,0,0,0,5,4
lost toss & fielded,2023-2023,1,1,0,7,7,7.00,9,77.77,0,0,0,1,0
matches batting first,2023-2024,4,4,0,59,46,14.75,41,143.90,0,0,0,5,4
matches fielding first,2023-2023,4,4,0,91,65,22.75,71,128.16,0,1,0,7,4
1st team innings,2023-2024,8,8,0,150,65,18.75,112,133.92,0,1,0,12,8
1st match innings,2023-2024,4,4,0,59,46,14.75,41,143.90,0,0,0,5,4
2nd match innings,2023-2023,4,4,0,91,65,22.75,71,128.16,0,1,0,7,4
won match,2023-2023,3,3,0,118,65,39.33,80,147.50,0,1,0,7,7
lost match,2023-2024,5,5,0,32,13,6.40,32,100.00,0,0,0,5,1
won batting first,2023-2023,1,1,0,46,46,46.00,24,191.66,0,0,0,4,3
won fielding first,2023-2023,2,2,0,72,65,36.00,56,128.57,0,1,0,3,4
lost batting first,2023-2024,3,3,0,13,7,4.33,17,76.47,0,0,0,1,1
lost fielding first,2023-2023,2,2,0,19,13,9.50,15,126.66,0,0,0,4,0
2 team series,2023-2024,7,7,0,104,65,14.85,88,118.18,0,1,0,8,5
5+ team tournaments,2023-2023,1,1,0,46,46,46.00,24,191.66,0,0,0,4,3
1st match in series,2023-2023,2,2,0,18,13,9.00,16,112.50,0,0,0,4,0
2nd match in series,2023-2023,2,2,0,71,65,35.50,52,136.53,0,1,0,3,4
3rd match in series,2023-2024,3,3,0,15,7,5.00,20,75.00,0,0,0,1,1
1st position,2023-2023,1,1,0,46,46,46.00,24,191.66,0,0,0,4,3
2nd position,2023-2024,7,7,0,104,65,14.85,88,118.18,0,1,0,8,5
