,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2017-2021,3,5,0,24,16,4.80,70,34.28,0,0,3,3,0
vs Afghanistan,2021-2021,2,3,0,8,8,2.66,31,25.80,0,0,2,0,0
vs South Africa,2017-2017,1,2,0,16,16,8.00,39,41.02,0,0,1,3,0
in South Africa,2017-2017,1,2,0,16,16,8.00,39,41.02,0,0,1,3,0
in U.A.E.,2021-2021,2,3,0,8,8,2.66,31,25.80,0,0,2,0,0
in Africa,2017-2017,1,2,0,16,16,8.00,39,41.02,0,0,1,3,0
in Asia,2021-2021,2,3,0,8,8,2.66,31,25.80,0,0,2,0,0
away,2017-2017,1,2,0,16,16,8.00,39,41.02,0,0,1,3,0
neutral,2021-2021,2,3,0,8,8,2.66,31,25.80,0,0,2,0,0
year 2017,,1,2,0,16,16,8.00,39,41.02,0,0,1,3,0
year 2021,,2,3,0,8,8,2.66,31,25.80,0,0,2,0,0
season 2017/18,,1,2,0,16,16,8.00,39,41.02,0,0,1,3,0
season 2020/21,,2,3,0,8,8,2.66,31,25.80,0,0,2,0,0
*AG Cremer,2017-2017,1,2,0,16,16,8.00,39,41.02,0,0,1,3,0
*SC Williams,2021-2021,2,3,0,8,8,2.66,31,25.80,0,0,2,0,0
is not captain,2017-2021,3,5,0,24,16,4.80,70,34.28,0,0,3,3,0
is not keeper,2017-2021,3,5,0,24,16,4.80,70,34.28,0,0,3,3,0
lost the toss,2017-2021,3,5,0,24,16,4.80,70,34.28,0,0,3,3,0
lost toss & fielded,2017-2021,3,5,0,24,16,4.80,70,34.28,0,0,3,3,0
matches fielding first,2017-2021,3,5,0,24,16,4.80,70,34.28,0,0,3,3,0
1st team innings,2017-2021,3,3,0,24,16,8.00,62,38.70,0,0,1,3,0
2nd team innings,2017-2021,3,2,0,0,0,0.00,8,0.00,0,0,2,0,0
2nd match innings,2017-2021,3,3,0,24,16,8.00,62,38.70,0,0,1,3,0
3rd match innings,2017-2021,2,2,0,0,0,0.00,8,0.00,0,0,2,0,0
4th match innings,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-
day match,2021-2021,2,3,0,8,8,2.66,31,25.80,0,0,2,0,0
day/night match,2017-2017,1,2,0,16,16,8.00,39,41.02,0,0,1,3,0
won match,2021-2021,1,1,0,8,8,8.00,22,36.36,0,0,0,0,0
lost match,2017-2021,2,4,0,16,16,4.00,48,33.33,0,0,3,3,0
won fielding first,2021-2021,1,1,0,8,8,8.00,22,36.36,0,0,0,0,0
lost fielding first,2017-2021,2,4,0,16,16,4.00,48,33.33,0,0,3,3,0
2 team series,2017-2021,3,5,0,24,16,4.80,70,34.28,0,0,3,3,0
only match in series,2017-2017,1,2,0,16,16,8.00,39,41.02,0,0,1,3,0
1st match in series,2021-2021,1,1,0,8,8,8.00,22,36.36,0,0,0,0,0
2nd match in series,2021-2021,1,2,0,0,0,0.00,9,0.00,0,0,2,0,0
5th position,2017-2017,1,2,0,16,16,8.00,39,41.02,0,0,1,3,0
7th position,2021-2021,2,3,0,8,8,2.66,31,25.80,0,0,2,0,0
