,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,5,3,0,89,57,29.66,134,66.41,0,1,0,6,0
vs Netherlands,1,1,0,57,57,57.00,71,80.28,0,1,0,4,0
vs West Indies,1,-,-,-,-,-,-,-,-,-,-,-,-
vs Zimbabwe,3,2,0,32,21,16.00,63,50.79,0,0,0,2,0
in Sri Lanka,3,2,0,32,21,16.00,63,50.79,0,0,0,2,0
in Zimbabwe,2,1,0,57,57,57.00,71,80.28,0,1,0,4,0
in Africa,2,1,0,57,57,57.00,71,80.28,0,1,0,4,0
in Asia,3,2,0,32,21,16.00,63,50.79,0,0,0,2,0
home,3,2,0,32,21,16.00,63,50.79,0,0,0,2,0
neutral,2,1,0,57,57,57.00,71,80.28,0,1,0,4,0
year 2023,2,1,0,57,57,57.00,71,80.28,0,1,0,4,0
year 2024,3,2,0,32,21,16.00,63,50.79,0,0,0,2,0
season 2023,2,1,0,57,57,57.00,71,80.28,0,1,0,4,0
season 2023/24,3,2,0,32,21,16.00,63,50.79,0,0,0,2,0
*BKG Mendis,3,2,0,32,21,16.00,63,50.79,0,0,0,2,0
*MD Shanaka,2,1,0,57,57,57.00,71,80.28,0,1,0,4,0
is not captain,5,3,0,89,57,29.66,134,66.41,0,1,0,6,0
is not keeper,5,3,0,89,57,29.66,134,66.41,0,1,0,6,0
won the toss,2,1,0,11,11,11.00,24,45.83,0,0,0,0,0
lost the toss,3,2,0,78,57,39.00,110,70.90,0,1,0,6,0
won toss & batted,1,1,0,11,11,11.00,24,45.83,0,0,0,0,0
won toss & fielded,1,-,-,-,-,-,-,-,-,-,-,-,-
lost toss & sent in,1,1,0,57,57,57.00,71,80.28,0,1,0,4,0
lost toss & fielded,2,1,0,21,21,21.00,39,53.84,0,0,0,2,0
matches batting first,2,2,0,68,57,34.00,95,71.57,0,1,0,4,0
matches fielding first,3,1,0,21,21,21.00,39,53.84,0,0,0,2,0
1st team innings,5,3,0,89,57,29.66,134,66.41,0,1,0,6,0
1st match innings,2,2,0,68,57,34.00,95,71.57,0,1,0,4,0
2nd match innings,3,1,0,21,21,21.00,39,53.84,0,0,0,2,0
day match,2,1,0,57,57,57.00,71,80.28,0,1,0,4,0
day/night match,3,2,0,32,21,16.00,63,50.79,0,0,0,2,0
won match,4,2,0,78,57,39.00,110,70.90,0,1,0,6,0
no result,1,1,0,11,11,11.00,24,45.83,0,0,0,0,0
won batting first,1,1,0,57,57,57.00,71,80.28,0,1,0,4,0
won fielding first,3,1,0,21,21,21.00,39,53.84,0,0,0,2,0
no result batting first,1,1,0,11,11,11.00,24,45.83,0,0,0,0,0
2 team series,3,2,0,32,21,16.00,63,50.79,0,0,0,2,0
5+ team tournaments,2,1,0,57,57,57.00,71,80.28,0,1,0,4,0
1st match in series,1,1,0,11,11,11.00,24,45.83,0,0,0,0,0
2nd match in series,1,1,0,21,21,21.00,39,53.84,0,0,0,2,0
3rd match in series,1,-,-,-,-,-,-,-,-,-,-,-,-
tournament finals,1,1,0,57,57,57.00,71,80.28,0,1,0,4,0
preliminary matches,1,-,-,-,-,-,-,-,-,-,-,-,-
4th position,1,1,0,57,57,57.00,71,80.28,0,1,0,4,0
6th position,2,2,0,32,21,16.00,63,50.79,0,0,0,2,0
