,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2022-2024,14,27,5,929,132*,42.22,1494,62.18,2,7,2,111,8
vs Australia,2023-2024,3,6,1,141,53,28.20,234,60.25,0,2,1,19,0
vs Bangladesh,2024-2024,2,4,1,120,54,40.00,203,59.11,0,1,1,10,3
vs England,2022-2022,3,6,1,184,56,36.80,320,57.50,0,2,0,22,1
vs New Zealand,2022-2023,2,4,0,180,103,45.00,287,62.71,1,0,0,29,0
vs Sri Lanka,2022-2023,4,7,2,304,132*,60.80,450,67.55,1,2,0,31,4
in Australia,2023-2024,3,6,1,141,53,28.20,234,60.25,0,2,1,19,0
in Pakistan,2022-2024,7,14,2,484,103,40.33,810,59.75,1,3,1,61,4
in Sri Lanka,2022-2023,4,7,2,304,132*,60.80,450,67.55,1,2,0,31,4
in Asia,2022-2024,11,21,4,788,132*,46.35,1260,62.53,2,5,1,92,8
in Oceania,2023-2024,3,6,1,141,53,28.20,234,60.25,0,2,1,19,0
home,2022-2024,7,14,2,484,103,40.33,810,59.75,1,3,1,61,4
away,2022-2024,7,13,3,445,132*,44.50,684,65.05,1,4,1,50,4
year 2022,,6,12,1,376,103,34.18,671,56.03,1,3,0,47,2
year 2023,,5,9,3,380,132*,63.33,551,68.96,1,2,0,46,3
year 2024,,3,6,1,173,54,34.60,272,63.60,0,2,2,18,3
season 2022,,2,4,0,83,62,20.75,182,45.60,0,1,0,7,1
season 2022/23,,5,10,1,364,103,40.44,607,59.96,1,2,0,51,1
season 2023,,2,3,2,221,132*,221.00,268,82.46,1,1,0,24,3
season 2023/24,,3,6,1,141,53,28.20,234,60.25,0,2,1,19,0
season 2024,,2,4,1,120,54,40.00,203,59.11,0,1,1,10,3
*Babar Azam,2022-2023,9,17,3,668,132*,47.71,1057,63.19,2,4,0,82,5
*Shan Masood,2023-2024,5,10,2,261,54,32.62,437,59.72,0,3,2,29,3
is not captain,2022-2024,14,27,5,929,132*,42.22,1494,62.18,2,7,2,111,8
is not keeper,2022-2024,14,27,5,929,132*,42.22,1494,62.18,2,7,2,111,8
won the toss,2022-2024,4,8,0,294,103,36.75,459,64.05,1,3,1,40,0
lost the toss,2022-2024,10,19,5,635,132*,45.35,1035,61.35,1,4,1,71,8
won toss & batted,2022-2024,3,6,0,239,103,39.83,381,62.72,1,2,1,33,0
won toss & fielded,2023-2023,1,2,0,55,50,27.50,78,70.51,0,1,0,7,0
lost toss & sent in,2024-2024,2,4,1,120,54,40.00,203,59.11,0,1,1,10,3
lost toss & fielded,2022-2023,8,15,4,515,132*,46.81,832,61.89,1,3,0,61,5
matches batting first,2022-2024,5,10,1,359,103,39.88,584,61.47,1,3,2,43,3
matches fielding first,2022-2023,9,17,4,570,132*,43.84,910,62.63,1,4,0,68,5
1st team innings,2022-2024,14,14,2,698,132*,58.16,1098,63.57,2,6,0,83,6
2nd team innings,2022-2024,13,13,3,231,50,23.10,396,58.33,0,1,2,28,2
1st match innings,2022-2024,5,5,0,285,103,57.00,446,63.90,1,3,0,35,2
2nd match innings,2022-2023,9,9,2,413,132*,59.00,652,63.34,1,3,0,48,4
3rd match innings,2022-2024,5,5,1,74,47*,18.50,138,53.62,0,0,2,8,1
4th match innings,2022-2023,8,8,2,157,50,26.16,258,60.85,0,1,0,20,1
won match,2022-2023,3,5,2,238,132*,79.33,318,74.84,1,1,0,26,3
lost match,2022-2024,9,18,3,511,62,34.06,889,57.48,0,6,2,56,5
drawn match,2022-2023,2,4,0,180,103,45.00,287,62.71,1,0,0,29,0
won fielding first,2022-2023,3,5,2,238,132*,79.33,318,74.84,1,1,0,26,3
lost batting first,2022-2024,4,8,1,250,56,35.71,415,60.24,0,3,2,25,3
lost fielding first,2022-2023,5,10,2,261,62,32.62,474,55.06,0,3,0,31,2
drawn batting first,2022-2022,1,2,0,109,103,54.50,169,64.49,1,0,0,18,0
drawn fielding first,2023-2023,1,2,0,71,41,35.50,118,60.16,0,0,0,11,0
2 team series,2022-2024,14,27,5,929,132*,42.22,1494,62.18,2,7,2,111,8
5+ team tournaments,2022-2024,14,27,5,929,132*,42.22,1494,62.18,2,7,2,111,8
1st match in series,2022-2024,6,12,2,350,103,35.00,588,59.52,1,2,1,45,3
2nd match in series,2022-2024,6,11,3,449,132*,56.12,694,64.69,1,3,0,51,5
3rd match in series,2022-2024,2,4,0,130,56,32.50,212,61.32,0,2,1,15,0
Benaud-Qadir Trophy,2023-2024,3,6,1,141,53,28.20,234,60.25,0,2,1,19,0
ICC World Test Champ,2022-2024,14,27,5,929,132*,42.22,1494,62.18,2,7,2,111,8
6th position,2022-2022,3,5,0,87,62,17.40,197,44.16,0,1,0,7,1
7th position,2022-2024,11,16,1,711,132*,47.40,1076,66.07,2,6,1,86,5
8th position,2022-2024,6,6,4,131,47*,65.50,221,59.27,0,0,1,18,2
