,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
overview,2014-2024,21,21,165.1,9,894,28,3/23,31.92,5.41,35.3,0,0
vs Bangladesh,2023-2023,1,1,10.0,0,61,2,2/61,30.50,6.10,30.0,0,0
vs England,2022-2022,1,1,8.0,0,45,2,2/45,22.50,5.62,24.0,0,0
vs India,2020-2023,6,6,54.4,1,335,7,3/23,47.85,6.12,46.8,0,0
vs New Zealand,2022-2022,2,2,15.0,7,32,4,2/1,8.00,2.13,22.5,0,0
vs Pakistan,2014-2022,4,4,24.0,0,150,2,1/25,75.00,6.25,72.0,0,0
vs South Africa,2023-2023,4,4,29.5,1,175,5,2/50,35.00,5.86,35.8,0,0
vs West Indies,2024-2024,3,3,23.4,0,96,6,3/40,16.00,4.05,23.6,0,0
in Australia,2020-2024,7,7,56.4,7,257,13,3/40,19.76,4.53,26.1,0,0
in India,2023-2023,6,6,54.4,1,312,8,3/23,39.00,5.70,41.0,0,0
in Pakistan,2022-2022,3,3,19.0,0,125,1,1/36,125.00,6.57,114.0,0,0
in South Africa,2023-2023,4,4,29.5,1,175,5,2/50,35.00,5.86,35.8,0,0
in U.A.E.,2014-2014,1,1,5.0,0,25,1,1/25,25.00,5.00,30.0,0,0
in Africa,2023-2023,4,4,29.5,1,175,5,2/50,35.00,5.86,35.8,0,0
in Asia,2014-2023,10,10,78.4,1,462,10,3/23,46.20,5.87,47.2,0,0
in Oceania,2020-2024,7,7,56.4,7,257,13,3/40,19.76,4.53,26.1,0,0
home,2020-2024,7,7,56.4,7,257,13,3/40,19.76,4.53,26.1,0,0
away,2022-2023,12,12,93.3,2,551,12,3/23,45.91,5.89,46.7,0,0
neutral,2014-2023,2,2,15.0,0,86,3,2/61,28.66,5.73,30.0,0,0
year 2014,,1,1,5.0,0,25,1,1/25,25.00,5.00,30.0,0,0
year 2020,,1,1,10.0,0,84,1,1/84,84.00,8.40,60.0,0,0
year 2022,,6,6,42.0,7,202,7,2/1,28.85,4.80,36.0,0,0
year 2023,,10,10,84.3,2,487,13,3/23,37.46,5.76,39.0,0,0
year 2024,,3,3,23.4,0,96,6,3/40,16.00,4.05,23.6,0,0
season 2014/15,,1,1,5.0,0,25,1,1/25,25.00,5.00,30.0,0,0
season 2020/21,,1,1,10.0,0,84,1,1/84,84.00,8.40,60.0,0,0
season 2021/22,,3,3,19.0,0,125,1,1/36,125.00,6.57,114.0,0,0
season 2022,,2,2,15.0,7,32,4,2/1,8.00,2.13,22.5,0,0
