,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2009-2024,114,99,18,1586,105,19.58,2775,57.15,1,4,7,136,10
vs AUS Women,2013-2023,10,10,1,109,23,12.11,230,47.39,0,0,1,9,0
vs BAN Women,2022-2022,1,1,1,53,53*,-,107,49.53,0,1,0,5,0
vs ENG Women,2009-2022,18,16,3,190,66,14.61,316,60.12,0,1,2,14,3
vs India Women,2011-2022,15,14,3,170,39,15.45,304,55.92,0,0,1,15,2
vs IRE Women,2010-2023,6,4,2,49,24,24.50,84,58.33,0,0,0,1,0
vs NL Women,2010-2010,1,1,1,1,1*,-,5,20.00,0,0,0,0,0
vs NZ Women,2013-2022,10,10,1,180,45,20.00,368,48.91,0,0,1,23,0
vs PAK Women,2011-2024,15,12,2,253,52,25.30,407,62.16,0,1,1,18,0
vs SA Women,2009-2022,20,16,3,301,47,23.15,503,59.84,0,0,0,28,0
vs SL Women,2010-2024,18,15,1,280,105,20.00,451,62.08,1,1,1,23,5
in Australia,2014-2023,6,6,1,70,23,14.00,132,53.03,0,0,0,6,0
in Bangladesh,2011-2011,4,-,-,-,-,-,-,-,-,-,-,-,-
in England,2019-2019,3,3,0,32,29,10.66,63,50.79,0,0,1,4,0
in India,2011-2016,14,13,1,141,33,11.75,261,54.02,0,0,1,20,1
in New Zealand,2014-2022,11,10,1,268,66,29.77,472,56.77,0,2,0,26,0
in Pakistan,2021-2024,6,6,1,182,52,36.40,278,65.46,0,1,0,13,0
in South Africa,2009-2022,13,11,4,156,27,22.28,281,55.51,0,0,0,13,0
in Sri Lanka,2013-2024,10,9,0,197,105,21.88,324,60.80,1,0,1,17,4
in U.A.E.,2019-2019,3,3,1,53,26*,26.50,81,65.43,0,0,0,3,0
in West Indies,2009-2023,43,37,8,482,56,16.62,862,55.91,0,1,4,34,5
in Zimbabwe,2021-2021,1,1,1,5,5*,-,21,23.80,0,0,0,0,0
in Africa,2009-2022,14,12,5,161,27,23.00,302,53.31,0,0,0,13,0
in Americas,2009-2023,43,37,8,482,56,16.62,862,55.91,0,1,4,34,5
in Asia,2011-2024,37,31,3,573,105,20.46,944,60.69,1,1,2,53,5
