,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,1,1,0,12,12,12.00,28,42.85,0,0,0,1,0
vs Zimbabwe,1,1,0,12,12,12.00,28,42.85,0,0,0,1,0
in Sri Lanka,1,1,0,12,12,12.00,28,42.85,0,0,0,1,0
in Asia,1,1,0,12,12,12.00,28,42.85,0,0,0,1,0
home,1,1,0,12,12,12.00,28,42.85,0,0,0,1,0
year 2024,1,1,0,12,12,12.00,28,42.85,0,0,0,1,0
season 2023/24,1,1,0,12,12,12.00,28,42.85,0,0,0,1,0
*BKG Mendis,1,1,0,12,12,12.00,28,42.85,0,0,0,1,0
is not captain,1,1,0,12,12,12.00,28,42.85,0,0,0,1,0
is not keeper,1,1,0,12,12,12.00,28,42.85,0,0,0,1,0
lost the toss,1,1,0,12,12,12.00,28,42.85,0,0,0,1,0
lost toss & fielded,1,1,0,12,12,12.00,28,42.85,0,0,0,1,0
matches fielding first,1,1,0,12,12,12.00,28,42.85,0,0,0,1,0
1st team innings,1,1,0,12,12,12.00,28,42.85,0,0,0,1,0
2nd match innings,1,1,0,12,12,12.00,28,42.85,0,0,0,1,0
won match,1,1,0,12,12,12.00,28,42.85,0,0,0,1,0
won fielding first,1,1,0,12,12,12.00,28,42.85,0,0,0,1,0
2 team series,1,1,0,12,12,12.00,28,42.85,0,0,0,1,0
3rd match in series,1,1,0,12,12,12.00,28,42.85,0,0,0,1,0
1st position,1,1,0,12,12,12.00,28,42.85,0,0,0,1,0
