,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2023-2024,7,12,1,221,44,20.09,417,52.99,0,0,0,19,6
vs Australia,2023-2023,5,8,1,129,44,18.42,226,57.07,0,0,0,10,5
vs England,2024-2024,2,4,0,92,41,23.00,191,48.16,0,0,0,9,1
in England,2023-2023,1,2,0,28,23,14.00,56,50.00,0,0,0,2,0
in India,2023-2024,6,10,1,193,44,21.44,361,53.46,0,0,0,17,6
in Asia,2023-2024,6,10,1,193,44,21.44,361,53.46,0,0,0,17,6
in Europe,2023-2023,1,2,0,28,23,14.00,56,50.00,0,0,0,2,0
home,2023-2024,6,10,1,193,44,21.44,361,53.46,0,0,0,17,6
neutral,2023-2023,1,2,0,28,23,14.00,56,50.00,0,0,0,2,0
year 2023,,5,8,1,129,44,18.42,226,57.07,0,0,0,10,5
year 2024,,2,4,0,92,41,23.00,191,48.16,0,0,0,9,1
season 2022/23,,4,6,1,101,44,20.20,170,59.41,0,0,0,8,5
season 2023,,1,2,0,28,23,14.00,56,50.00,0,0,0,2,0
season 2023/24,,2,4,0,92,41,23.00,191,48.16,0,0,0,9,1
*RG Sharma,2023-2024,7,12,1,221,44,20.09,417,52.99,0,0,0,19,6
is not captain,2023-2024,7,12,1,221,44,20.09,417,52.99,0,0,0,19,6
is designated keeper,2023-2024,7,12,1,221,44,20.09,417,52.99,0,0,0,19,6
won the toss,2023-2024,3,6,0,71,23,11.83,145,48.96,0,0,0,6,2
lost the toss,2023-2024,4,6,1,150,44,30.00,272,55.14,0,0,0,13,4
won toss & batted,2023-2024,2,4,0,43,17,10.75,89,48.31,0,0,0,4,2
won toss & fielded,2023-2023,1,2,0,28,23,14.00,56,50.00,0,0,0,2,0
lost toss & fielded,2023-2024,4,6,1,150,44,30.00,272,55.14,0,0,0,13,4
matches batting first,2023-2024,2,4,0,43,17,10.75,89,48.31,0,0,0,4,2
matches fielding first,2023-2024,5,8,1,178,44,25.42,328,54.26,0,0,0,15,4
1st team innings,2023-2024,7,7,0,138,44,19.71,259,53.28,0,0,0,10,5
2nd team innings,2023-2024,5,5,1,83,28,20.75,158,52.53,0,0,0,9,1
1st match innings,2023-2024,2,2,0,34,17,17.00,53,64.15,0,0,0,3,2
2nd match innings,2023-2024,5,5,0,104,44,20.80,206,50.48,0,0,0,7,3
3rd match innings,2023-2024,2,2,0,9,6,4.50,36,25.00,0,0,0,1,0
4th match innings,2023-2024,3,3,1,74,28,37.00,122,60.65,0,0,0,8,1
won match,2023-2024,3,5,1,60,23*,15.00,95,63.15,0,0,0,8,2
lost match,2023-2024,3,6,0,117,41,19.50,234,50.00,0,0,0,9,1
drawn match,2023-2023,1,1,0,44,44,44.00,88,50.00,0,0,0,2,3
won batting first,2024-2024,1,2,0,23,17,11.50,51,45.09,0,0,0,3,1
won fielding first,2023-2023,2,3,1,37,23*,18.50,44,84.09,0,0,0,5,1
lost batting first,2023-2023,1,2,0,20,17,10.00,38,52.63,0,0,0,1,1
lost fielding first,2023-2024,2,4,0,97,41,24.25,196,49.48,0,0,0,8,0
drawn fielding first,2023-2023,1,1,0,44,44,44.00,88,50.00,0,0,0,2,3
2 team series,2023-2024,6,10,1,193,44,21.44,361,53.46,0,0,0,17,6
5+ team tournaments,2023-2024,7,12,1,221,44,20.09,417,52.99,0,0,0,19,6
1st match in series,2023-2024,2,3,0,77,41,25.66,150,51.33,0,0,0,7,0
2nd match in series,2023-2024,2,4,1,52,23*,17.33,85,61.17,0,0,0,7,2
3rd match in series,2023-2023,1,2,0,20,17,10.00,38,52.63,0,0,0,1,1
4th match in series,2023-2023,1,1,0,44,44,44.00,88,50.00,0,0,0,2,3
Border-Gavaskar,2023-2023,4,6,1,101,44,20.20,170,59.41,0,0,0,8,5
ICC World Test Champ,2023-2024,7,12,1,221,44,20.09,417,52.99,0,0,0,19,6
tournament finals,2023-2023,1,2,0,28,23,14.00,56,50.00,0,0,0,2,0
preliminary matches,2023-2024,6,10,1,193,44,21.44,361,53.46,0,0,0,17,6
6th position,2023-2023,2,2,1,67,44,67.00,110,60.90,0,0,0,5,4
7th position,2023-2024,5,8,0,118,41,14.75,238,49.57,0,0,0,10,2
8th position,2023-2024,2,2,0,36,28,18.00,69,52.17,0,0,0,4,0
