,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2006-2024,163,157,16,5718,168,40.55,7132,80.17,13,34,9,656,20
vs AUS Women,2007-2022,32,32,2,1116,122*,37.20,1491,74.84,3,6,2,129,5
vs BAN Women,2022-2022,4,4,3,232,93*,232.00,261,88.88,0,3,0,21,0
vs ENG Women,2007-2024,41,41,1,973,106,24.32,1447,67.24,1,4,2,122,1
vs India Women,2006-2022,24,22,1,718,122,34.19,956,75.10,2,3,2,72,1
vs IRE Women,2018-2018,2,1,0,151,151,151.00,94,160.63,1,0,0,24,2
vs PAK Women,2009-2023,14,13,1,874,168,72.83,878,99.54,3,5,0,106,6
vs SA Women,2009-2023,16,15,1,425,82*,30.35,617,68.88,0,5,1,41,2
vs SL Women,2013-2023,10,9,4,493,106*,98.60,504,97.81,1,4,0,60,2
vs WI Women,2009-2022,20,20,3,736,110,43.29,884,83.25,2,4,2,81,1
in Australia,2009-2020,19,19,3,630,168,39.37,757,83.22,2,2,2,70,11
in England,2007-2024,31,30,3,722,106*,26.74,1071,67.41,1,3,1,82,1
in India,2007-2015,19,19,1,805,122,44.72,1120,71.87,2,4,1,99,1
in Ireland,2018-2018,2,1,0,151,151,151.00,94,160.63,1,0,0,24,2
in New Zealand,2006-2024,66,63,7,2737,126,48.87,3139,87.19,6,20,3,315,2
in South Africa,2016-2023,10,9,1,206,82*,25.75,326,63.19,0,2,0,20,2
in Sri Lanka,2023-2023,3,3,1,92,63*,46.00,132,69.69,0,1,0,5,0
in U.A.E.,2017-2017,3,3,0,73,36,24.33,99,73.73,0,0,0,9,0
in West Indies,2013-2022,10,10,0,302,110,30.20,394,76.64,1,2,2,32,1
in Africa,2016-2023,10,9,1,206,82*,25.75,326,63.19,0,2,0,20,2
in Americas,2013-2022,10,10,0,302,110,30.20,394,76.64,1,2,2,32,1
in Asia,2007-2023,25,25,2,970,122,42.17,1351,71.79,2,5,1,113,1
in Europe,2007-2024,33,31,3,873,151,31.17,1165,74.93,2,3,1,106,3
in Oceania,2006-2024,85,82,10,3367,168,46.76,3896,86.42,8,22,5,385,13
home,2006-2024,66,63,7,2737,126,48.87,3139,87.19,6,20,3,315,2
away,2007-2024,68,66,5,1875,151,30.73,2616,71.67,4,10,5,206,10
neutral,2007-2017,29,28,4,1106,168,46.08,1377,80.31,3,4,1,135,8
year 2006,,4,2,0,73,69,36.50,83,87.95,0,1,0,6,0
year 2007,,12,12,0,362,122,30.16,470,77.02,1,1,1,42,0
year 2009,,10,10,1,336,168,37.33,349,96.27,1,0,2,38,6
year 2010,,8,8,1,185,75*,26.42,280,66.07,0,2,1,18,0
year 2011,,6,6,0,109,40,18.16,201,54.22,0,0,1,7,0
year 2012,,9,9,2,337,122*,48.14,422,79.85,1,2,0,32,5
year 2013,,10,10,1,521,110,57.88,666,78.22,2,3,1,64,1
year 2014,,7,7,1,235,95*,39.16,287,81.88,0,2,1,32,1
year 2015,,15,14,2,585,106,48.75,718,81.47,1,4,1,76,1
year 2016,,14,13,1,632,110,52.66,770,82.07,1,6,0,73,2
year 2017,,12,11,2,432,106*,48.00,542,79.70,1,2,0,54,1
year 2018,,8,7,1,438,151,73.00,429,102.09,2,1,0,52,2
year 2019,,6,6,0,147,57,24.50,209,70.33,0,1,1,18,1
year 2020,,4,4,0,156,53,39.00,222,70.27,0,2,0,14,0
year 2021,,5,5,0,57,28,11.40,105,54.28,0,0,0,9,0
year 2022,,18,18,3,662,126,44.13,763,86.76,2,4,0,73,0
year 2023,,9,9,1,322,108,40.25,429,75.05,1,2,0,28,0
year 2024,,6,6,0,129,50,21.50,187,68.98,0,1,0,20,0
season 2005/06,,4,2,0,73,69,36.50,83,87.95,0,1,0,6,0
season 2006/07,,7,7,0,241,122,34.42,301,80.06,1,0,1,29,0
season 2007,,5,5,0,121,82,24.20,169,71.59,0,1,0,13,0
season 2008/09,,10,10,1,336,168,37.33,349,96.27,1,0,2,38,6
season 2009/10,,3,3,0,84,61,28.00,118,71.18,0,1,0,7,0
season 2010,,5,5,1,101,75*,25.25,162,62.34,0,1,1,11,0
season 2011,,6,6,0,109,40,18.16,201,54.22,0,0,1,7,0
season 2011/12,,5,5,1,63,38,15.75,102,61.76,0,0,0,3,0
season 2012/13,,11,11,2,681,122*,75.66,849,80.21,2,5,0,84,6
season 2013/14,,6,6,1,230,110,46.00,264,87.12,1,1,1,26,0
season 2014/15,,9,9,0,289,106,32.11,366,78.96,1,1,2,38,1
season 2015,,5,5,0,157,59,31.40,290,54.13,0,1,0,15,0
season 2015/16,,8,7,2,472,110,94.40,508,92.91,1,4,0,60,1
season 2016/17,,14,13,1,535,82*,44.58,633,84.51,0,6,0,68,2
season 2017,,6,5,2,242,106*,80.66,294,82.31,1,1,0,28,1
season 2017/18,,6,6,1,307,101*,61.40,328,93.59,1,1,0,32,0
season 2018,,5,4,0,204,151,51.00,200,102.00,1,0,0,29,2
season 2018/19,,6,6,0,147,57,24.50,209,70.33,0,1,1,18,1
season 2019/20,,3,3,0,142,53,47.33,192,73.95,0,2,0,13,0
season 2020/21,,1,1,0,14,14,14.00,30,46.66,0,0,0,1,0
season 2021,,5,5,0,57,28,11.40,105,54.28,0,0,0,9,0
season 2021/22,,12,12,1,440,126,40.00,473,93.02,2,1,0,52,0
season 2022,,3,3,0,69,51,23.00,97,71.13,0,1,0,8,0
season 2022/23,,3,3,2,153,93*,153.00,193,79.27,0,2,0,13,0
season 2023,,3,3,1,92,63*,46.00,132,69.69,0,1,0,5,0
season 2023/24,,9,9,0,314,108,34.88,424,74.05,1,2,0,34,0
season 2024,,3,3,0,45,24,15.00,60,75.00,0,0,0,9,0
*SW Bates,2011-2018,76,72,10,3214,151,51.83,3889,82.64,8,20,3,384,13
*SFM Devine,2020-2024,39,39,4,1232,126,35.20,1581,77.92,3,8,0,130,0
*AC Kerr,2024-2024,2,2,0,78,50,39.00,111,70.27,0,1,0,10,0
*AE Satterthwaite,2019-2022,7,7,0,163,57,23.28,223,73.09,0,1,1,22,1
*HM Tiffen,2006-2009,25,23,1,760,168,34.54,861,88.26,2,2,3,85,6
*AL Watkins,2009-2011,14,14,1,271,75*,20.84,467,58.02,0,2,2,25,0
is captain,2011-2018,76,72,10,3214,151,51.83,3889,82.64,8,20,3,384,13
is not captain,2006-2024,87,85,6,2504,168,31.69,3243,77.21,5,14,6,272,7
is not keeper,2006-2024,163,157,16,5718,168,40.55,7132,80.17,13,34,9,656,20
won the toss,2006-2024,77,73,6,2436,168,36.35,2992,81.41,5,14,2,275,12
lost the toss,2007-2024,86,84,10,3282,126,44.35,4140,79.27,8,20,7,381,8
won toss & batted,2006-2024,44,42,1,1392,168,33.95,1797,77.46,3,6,1,141,8
won toss & fielded,2006-2023,33,31,5,1044,106*,40.15,1195,87.36,2,8,1,134,4
