,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2022-2024,10,19,2,560,207*,32.94,1433,39.07,1,1,1,52,5
vs Australia,2022-2024,4,8,0,191,51,23.87,435,43.90,0,1,1,20,2
vs India,2023-2023,2,4,1,76,33,25.33,265,28.67,0,0,0,7,0
vs South Africa,2023-2023,2,4,0,35,22,8.75,123,28.45,0,0,0,5,0
vs Zimbabwe,2023-2023,2,3,1,258,207*,129.00,610,42.29,1,0,0,20,3
in Australia,2022-2024,4,8,0,191,51,23.87,435,43.90,0,1,1,20,2
in South Africa,2023-2023,2,4,0,35,22,8.75,123,28.45,0,0,0,5,0
in West Indies,2023-2023,2,4,1,76,33,25.33,265,28.67,0,0,0,7,0
in Zimbabwe,2023-2023,2,3,1,258,207*,129.00,610,42.29,1,0,0,20,3
in Africa,2023-2023,4,7,1,293,207*,48.83,733,39.97,1,0,0,25,3
in Americas,2023-2023,2,4,1,76,33,25.33,265,28.67,0,0,0,7,0
in Oceania,2022-2024,4,8,0,191,51,23.87,435,43.90,0,1,1,20,2
home,2023-2023,2,4,1,76,33,25.33,265,28.67,0,0,0,7,0
away,2022-2024,8,15,1,484,207*,34.57,1168,41.43,1,1,1,45,5
year 2022,,2,4,0,160,51,40.00,335,47.76,0,1,0,17,2
year 2023,,6,11,2,369,207*,41.00,998,36.97,1,0,0,32,3
year 2024,,2,4,0,31,21,7.75,100,31.00,0,0,1,3,0
season 2022/23,,6,11,1,453,207*,45.30,1068,42.41,1,1,0,42,5
season 2023,,2,4,1,76,33,25.33,265,28.67,0,0,0,7,0
season 2023/24,,2,4,0,31,21,7.75,100,31.00,0,0,1,3,0
*KC Brathwaite,2022-2024,10,19,2,560,207*,32.94,1433,39.07,1,1,1,52,5
is not captain,2022-2024,10,19,2,560,207*,32.94,1433,39.07,1,1,1,52,5
is not keeper,2022-2024,10,19,2,560,207*,32.94,1433,39.07,1,1,1,52,5
won the toss,2023-2024,4,8,2,323,207*,53.83,872,37.04,1,0,0,25,3
lost the toss,2022-2024,6,11,0,237,51,21.54,561,42.24,0,1,1,27,2
won toss & batted,2023-2024,3,6,1,266,207*,53.20,679,39.17,1,0,0,19,3
won toss & fielded,2023-2023,1,2,1,57,33,57.00,193,29.53,0,0,0,6,0
lost toss & sent in,2024-2024,1,2,0,6,6,3.00,26,23.07,0,0,1,1,0
lost toss & fielded,2022-2023,5,9,0,231,51,25.66,535,43.17,0,1,0,26,2
matches batting first,2023-2024,4,8,1,272,207*,38.85,705,38.58,1,0,1,20,3
matches fielding first,2022-2023,6,11,1,288,51,28.80,728,39.56,0,1,0,32,2
1st team innings,2022-2024,10,10,1,436,207*,48.44,993,43.90,1,1,0,41,5
2nd team innings,2022-2024,9,9,1,124,45,15.50,440,28.18,0,0,1,11,0
1st match innings,2023-2024,4,4,1,246,207*,82.00,584,42.12,1,0,0,19,3
2nd match innings,2022-2023,6,6,0,190,51,31.66,409,46.45,0,1,0,22,2
3rd match innings,2023-2024,4,4,0,26,15,6.50,121,21.48,0,0,1,1,0
4th match innings,2022-2023,5,5,1,98,45,24.50,319,30.72,0,0,0,10,0
day match,2022-2024,8,15,2,471,207*,36.23,1229,38.32,1,1,1,44,4
day/night match,2022-2024,2,4,0,89,47,22.25,204,43.62,0,0,0,8,1
won match,2023-2024,2,3,0,61,36,20.33,151,40.39,0,0,0,6,0
lost match,2022-2024,6,12,0,220,51,18.33,556,39.56,0,1,1,24,2
drawn match,2023-2023,2,4,2,279,207*,139.50,726,38.42,1,0,0,22,3
won batting first,2024-2024,1,2,0,25,21,12.50,74,33.78,0,0,0,2,0
won fielding first,2023-2023,1,1,0,36,36,36.00,77,46.75,0,0,0,4,0
lost batting first,2023-2024,2,4,0,25,12,6.25,98,25.51,0,0,1,2,0
lost fielding first,2022-2023,4,8,0,195,51,24.37,458,42.57,0,1,0,22,2
drawn batting first,2023-2023,1,2,1,222,207*,222.00,533,41.65,1,0,0,16,3
drawn fielding first,2023-2023,1,2,1,57,33,57.00,193,29.53,0,0,0,6,0
2 team series,2022-2024,10,19,2,560,207*,32.94,1433,39.07,1,1,1,52,5
5+ team tournaments,2022-2024,8,16,1,302,51,20.13,823,36.69,0,1,1,32,2
1st match in series,2022-2024,5,10,1,375,207*,41.66,915,40.98,1,1,1,34,4
2nd match in series,2022-2024,5,9,1,185,47,23.12,518,35.71,0,0,0,18,1
Frank Worrell Trophy,2022-2024,4,8,0,191,51,23.87,435,43.90,0,1,1,20,2
ICC World Test Champ,2022-2024,8,16,1,302,51,20.13,823,36.69,0,1,1,32,2
2nd position,2022-2024,10,19,2,560,207*,32.94,1433,39.07,1,1,1,52,5
