,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2013-2023,9,14,0,524,208,37.42,1025,51.12,1,2,1,70,0
vs AUS Women,2013-2023,5,8,0,379,208,47.37,698,54.29,1,1,1,53,0
vs India Women,2014-2023,3,5,0,117,66,23.40,266,43.98,0,1,0,13,0
vs SA Women,2022-2022,1,1,0,28,28,28.00,61,45.90,0,0,0,4,0
in Australia,2017-2022,2,4,0,148,70,37.00,329,44.98,0,1,0,21,0
in England,2013-2023,6,8,0,349,208,43.62,635,54.96,1,1,1,45,0
in India,2023-2023,1,2,0,27,17,13.50,61,44.26,0,0,0,4,0
in Asia,2023-2023,1,2,0,27,17,13.50,61,44.26,0,0,0,4,0
in Europe,2013-2023,6,8,0,349,208,43.62,635,54.96,1,1,1,45,0
in Oceania,2017-2022,2,4,0,148,70,37.00,329,44.98,0,1,0,21,0
home,2013-2023,6,8,0,349,208,43.62,635,54.96,1,1,1,45,0
away,2017-2023,3,6,0,175,70,29.16,390,44.87,0,1,0,25,0
year 2013,,1,1,0,1,1,1.00,9,11.11,0,0,0,0,0
year 2014,,1,2,0,24,12,12.00,61,39.34,0,0,0,3,0
year 2017,,1,2,0,107,70,53.50,254,42.12,0,1,0,14,0
year 2019,,1,1,0,0,0,0.00,3,0.00,0,0,1,0,0
year 2021,,1,1,0,66,66,66.00,144,45.83,0,1,0,6,0
year 2022,,2,3,0,69,36,23.00,136,50.73,0,0,0,11,0
year 2023,,2,4,0,257,208,64.25,418,61.48,1,0,0,36,0
season 2013,,1,1,0,1,1,1.00,9,11.11,0,0,0,0,0
season 2014,,1,2,0,24,12,12.00,61,39.34,0,0,0,3,0
season 2017/18,,1,2,0,107,70,53.50,254,42.12,0,1,0,14,0
season 2019,,1,1,0,0,0,0.00,3,0.00,0,0,1,0,0
season 2021,,1,1,0,66,66,66.00,144,45.83,0,1,0,6,0
season 2021/22,,1,2,0,41,36,20.50,75,54.66,0,0,0,7,0
season 2022,,1,1,0,28,28,28.00,61,45.90,0,0,0,4,0
season 2023,,1,2,0,230,208,115.00,357,64.42,1,0,0,32,0
season 2023/24,,1,2,0,27,17,13.50,61,44.26,0,0,0,4,0
*CM Edwards,2013-2014,2,3,0,25,12,8.33,70,35.71,0,0,0,3,0
*HC Knight,2017-2023,7,11,0,499,208,45.36,955,52.25,1,2,1,67,0
is not captain,2013-2023,9,14,0,524,208,37.42,1025,51.12,1,2,1,70,0
is not keeper,2013-2023,9,14,0,524,208,37.42,1025,51.12,1,2,1,70,0
won the toss,2017-2022,4,6,0,242,70,40.33,534,45.31,0,2,0,31,0
lost the toss,2013-2023,5,8,0,282,208,35.25,491,57.43,1,0,1,39,0
won toss & batted,2017-2021,2,3,0,173,70,57.66,398,43.46,0,2,0,20,0
won toss & fielded,2022-2022,2,3,0,69,36,23.00,136,50.73,0,0,0,11,0
lost toss & sent in,2014-2014,1,2,0,24,12,12.00,61,39.34,0,0,0,3,0
lost toss & fielded,2013-2023,4,6,0,258,208,43.00,430,60.00,1,0,1,36,0
matches batting first,2014-2021,3,5,0,197,70,39.40,459,42.91,0,2,0,23,0
matches fielding first,2013-2023,6,9,0,327,208,36.33,566,57.77,1,0,1,47,0
1st team innings,2013-2023,9,9,0,400,208,44.44,826,48.42,1,2,1,48,0
2nd team innings,2013-2023,6,5,0,124,37,24.80,199,62.31,0,0,0,22,0
1st match innings,2014-2021,3,3,0,148,70,49.33,354,41.80,0,2,0,16,0
2nd match innings,2013-2023,6,6,0,252,208,42.00,472,53.38,1,0,1,32,0
3rd match innings,2014-2017,2,2,0,49,37,24.50,105,46.66,0,0,0,7,0
4th match innings,2013-2023,4,3,0,75,36,25.00,94,79.78,0,0,0,15,0
day match,2013-2023,8,12,0,417,208,34.75,771,54.08,1,1,1,56,0
day/night match,2017-2017,1,2,0,107,70,53.50,254,42.12,0,1,0,14,0
lost match,2014-2023,3,6,0,281,208,46.83,479,58.66,1,0,0,39,0
drawn match,2013-2022,6,8,0,243,70,30.37,546,44.50,0,2,1,31,0
lost batting first,2014-2014,1,2,0,24,12,12.00,61,39.34,0,0,0,3,0
lost fielding first,2023-2023,2,4,0,257,208,64.25,418,61.48,1,0,0,36,0
drawn batting first,2017-2021,2,3,0,173,70,57.66,398,43.46,0,2,0,20,0
drawn fielding first,2013-2022,4,5,0,70,36,14.00,148,47.29,0,0,1,11,0
2 team series,2013-2023,9,14,0,524,208,37.42,1025,51.12,1,2,1,70,0
only match in series,2013-2023,9,14,0,524,208,37.42,1025,51.12,1,2,1,70,0
1st position,2023-2023,1,1,0,10,10,10.00,35,28.57,0,0,0,1,0
2nd position,2017-2023,7,10,0,489,208,48.90,920,53.15,1,2,1,66,0
3rd position,2014-2014,1,2,0,24,12,12.00,61,39.34,0,0,0,3,0
6th position,2013-2013,1,1,0,1,1,1.00,9,11.11,0,0,0,0,0
