,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Avg,Econ,SR,5w,10w
overview,2023-2024,2,2,24.0,2,98,3,3/39,3/39,32.66,4.08,48.0,0,0
vs Ireland,2024-2024,1,1,10.0,2,39,3,3/39,3/39,13.00,3.90,20.0,0,0
vs West Indies,2023-2023,1,1,14.0,0,59,0,-,-,-,4.21,-,0,0
in Ireland,2024-2024,1,1,10.0,2,39,3,3/39,3/39,13.00,3.90,20.0,0,0
in Zimbabwe,2023-2023,1,1,14.0,0,59,0,-,-,-,4.21,-,0,0
in Africa,2023-2023,1,1,14.0,0,59,0,-,-,-,4.21,-,0,0
in Europe,2024-2024,1,1,10.0,2,39,3,3/39,3/39,13.00,3.90,20.0,0,0
home,2023-2023,1,1,14.0,0,59,0,-,-,-,4.21,-,0,0
away,2024-2024,1,1,10.0,2,39,3,3/39,3/39,13.00,3.90,20.0,0,0
year 2023,,1,1,14.0,0,59,0,-,-,-,4.21,-,0,0
year 2024,,1,1,10.0,2,39,3,3/39,3/39,13.00,3.90,20.0,0,0
season 2022/23,,1,1,14.0,0,59,0,-,-,-,4.21,-,0,0
season 2024,,1,1,10.0,2,39,3,3/39,3/39,13.00,3.90,20.0,0,0
*CR Ervine,2023-2024,2,2,24.0,2,98,3,3/39,3/39,32.66,4.08,48.0,0,0
is not captain,2023-2024,2,2,24.0,2,98,3,3/39,3/39,32.66,4.08,48.0,0,0
is not keeper,2023-2024,2,2,24.0,2,98,3,3/39,3/39,32.66,4.08,48.0,0,0
won the toss,2023-2023,1,1,14.0,0,59,0,-,-,-,4.21,-,0,0
lost the toss,2024-2024,1,1,10.0,2,39,3,3/39,3/39,13.00,3.90,20.0,0,0
won toss & batted,2023-2023,1,1,14.0,0,59,0,-,-,-,4.21,-,0,0
lost toss & sent in,2024-2024,1,1,10.0,2,39,3,3/39,3/39,13.00,3.90,20.0,0,0
matches batting first,2023-2024,2,2,24.0,2,98,3,3/39,3/39,32.66,4.08,48.0,0,0
1st team innings,2023-2024,2,2,24.0,2,98,3,3/39,3/39,32.66,4.08,48.0,0,0
2nd team innings,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
2nd match innings,2023-2024,2,2,24.0,2,98,3,3/39,3/39,32.66,4.08,48.0,0,0
4th match innings,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
lost match,2023-2024,2,2,24.0,2,98,3,3/39,3/39,32.66,4.08,48.0,0,0
lost batting first,2023-2024,2,2,24.0,2,98,3,3/39,3/39,32.66,4.08,48.0,0,0
2 team series,2023-2024,2,2,24.0,2,98,3,3/39,3/39,32.66,4.08,48.0,0,0
only match in series,2024-2024,1,1,10.0,2,39,3,3/39,3/39,13.00,3.90,20.0,0,0
2nd match in series,2023-2023,1,1,14.0,0,59,0,-,-,-,4.21,-,0,0
3rd position,2023-2023,1,1,14.0,0,59,0,-,-,-,4.21,-,0,0
4th position,2024-2024,1,1,10.0,2,39,3,3/39,3/39,13.00,3.90,20.0,0,0
