,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,1,2,0,36,31,18.00,175,20.57,0,0,0,4,0
vs AUS Women,1,2,0,36,31,18.00,175,20.57,0,0,0,4,0
in Australia,1,2,0,36,31,18.00,175,20.57,0,0,0,4,0
in Oceania,1,2,0,36,31,18.00,175,20.57,0,0,0,4,0
away,1,2,0,36,31,18.00,175,20.57,0,0,0,4,0
year 2024,1,2,0,36,31,18.00,175,20.57,0,0,0,4,0
season 2023/24,1,2,0,36,31,18.00,175,20.57,0,0,0,4,0
*L Wolvaardt,1,2,0,36,31,18.00,175,20.57,0,0,0,4,0
is not captain,1,2,0,36,31,18.00,175,20.57,0,0,0,4,0
is not keeper,1,2,0,36,31,18.00,175,20.57,0,0,0,4,0
lost the toss,1,2,0,36,31,18.00,175,20.57,0,0,0,4,0
lost toss & sent in,1,2,0,36,31,18.00,175,20.57,0,0,0,4,0
matches batting first,1,2,0,36,31,18.00,175,20.57,0,0,0,4,0
1st team innings,1,1,0,5,5,5.00,48,10.41,0,0,0,0,0
2nd team innings,1,1,0,31,31,31.00,127,24.40,0,0,0,4,0
1st match innings,1,1,0,5,5,5.00,48,10.41,0,0,0,0,0
3rd match innings,1,1,0,31,31,31.00,127,24.40,0,0,0,4,0
lost match,1,2,0,36,31,18.00,175,20.57,0,0,0,4,0
lost batting first,1,2,0,36,31,18.00,175,20.57,0,0,0,4,0
2 team series,1,2,0,36,31,18.00,175,20.57,0,0,0,4,0
only match in series,1,2,0,36,31,18.00,175,20.57,0,0,0,4,0
4th position,1,2,0,36,31,18.00,175,20.57,0,0,0,4,0
