,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,1,1,0,0,0,0.00,6,0.00,0,0,1,0,0
vs Australia,1,1,0,0,0,0.00,6,0.00,0,0,1,0,0
in Australia,1,1,0,0,0,0.00,6,0.00,0,0,1,0,0
in Oceania,1,1,0,0,0,0.00,6,0.00,0,0,1,0,0
away,1,1,0,0,0,0.00,6,0.00,0,0,1,0,0
year 2024,1,1,0,0,0,0.00,6,0.00,0,0,1,0,0
season 2023/24,1,1,0,0,0,0.00,6,0.00,0,0,1,0,0
*SD Hope,1,1,0,0,0,0.00,6,0.00,0,0,1,0,0
is not captain,1,1,0,0,0,0.00,6,0.00,0,0,1,0,0
is not keeper,1,1,0,0,0,0.00,6,0.00,0,0,1,0,0
lost the toss,1,1,0,0,0,0.00,6,0.00,0,0,1,0,0
lost toss & sent in,1,1,0,0,0,0.00,6,0.00,0,0,1,0,0
matches batting first,1,1,0,0,0,0.00,6,0.00,0,0,1,0,0
1st team innings,1,1,0,0,0,0.00,6,0.00,0,0,1,0,0
1st match innings,1,1,0,0,0,0.00,6,0.00,0,0,1,0,0
lost match,1,1,0,0,0,0.00,6,0.00,0,0,1,0,0
lost batting first,1,1,0,0,0,0.00,6,0.00,0,0,1,0,0
2 team series,1,1,0,0,0,0.00,6,0.00,0,0,1,0,0
3rd match in series,1,1,0,0,0,0.00,6,0.00,0,0,1,0,0
5th position,1,1,0,0,0,0.00,6,0.00,0,0,1,0,0
