,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2014-2024,59,101,13,3102,172,35.25,6425,48.28,2,21,10,370,8
vs Australia,2016-2023,8,15,3,483,95*,40.25,1022,47.26,0,4,0,52,2
vs Bangladesh,2015-2022,6,8,1,357,93,51.00,744,47.98,0,4,0,36,1
vs England,2015-2020,9,17,2,538,102*,35.86,1085,49.58,1,3,2,72,1
vs India,2015-2023,8,14,3,373,52,33.90,751,49.66,0,2,2,52,3
vs New Zealand,2016-2022,7,12,1,383,89,34.81,882,43.42,0,2,0,51,0
vs Pakistan,2018-2021,5,9,2,334,75,47.71,733,45.56,0,3,0,40,0
vs Sri Lanka,2016-2021,9,15,0,260,71,17.33,494,52.63,0,2,3,27,0
vs West Indies,2014-2024,6,10,1,330,172,36.66,642,51.40,1,1,3,35,1
vs Zimbabwe,2017-2017,1,1,0,44,44,44.00,72,61.11,0,0,0,5,0
in Australia,2016-2023,6,11,1,347,74,34.70,772,44.94,0,3,0,34,2
in Bangladesh,2015-2015,2,1,0,54,54,54.00,108,50.00,0,1,0,5,0
in England,2017-2017,4,8,0,257,59,32.12,573,44.85,0,2,0,32,0
in India,2015-2019,4,8,0,152,38,19.00,353,43.05,0,0,2,20,2
in New Zealand,2017-2022,5,9,0,289,89,32.11,643,44.94,0,2,0,37,0
in Pakistan,2021-2021,2,4,1,162,61,54.00,423,38.29,0,1,0,14,0
in South Africa,2014-2023,32,52,10,1643,172,39.11,3166,51.89,2,10,7,213,3
in Sri Lanka,2018-2018,2,4,0,93,63,23.25,168,55.35,0,1,0,7,0
in West Indies,2024-2024,2,4,1,105,86,35.00,219,47.94,0,1,1,8,1
in Africa,2014-2023,32,52,10,1643,172,39.11,3166,51.89,2,10,7,213,3
in Americas,2024-2024,2,4,1,105,86,35.00,219,47.94,0,1,1,8,1
in Asia,2015-2021,10,17,1,461,63,28.81,1052,43.82,0,3,2,46,2
in Europe,2017-2017,4,8,0,257,59,32.12,573,44.85,0,2,0,32,0
in Oceania,2016-2023,11,20,1,636,89,33.47,1415,44.94,0,5,0,71,2
home,2014-2023,32,52,10,1643,172,39.11,3166,51.89,2,10,7,213,3
away,2015-2024,27,49,3,1459,89,31.71,3259,44.76,0,11,3,157,5
year 2014,,1,1,0,10,10,10.00,35,28.57,0,0,0,2,0
year 2015,,5,6,0,135,54,22.50,362,37.29,0,1,1,15,1
year 2016,,9,15,3,505,102*,42.08,1054,47.91,1,3,1,68,1
year 2017,,12,20,1,609,89,32.05,1292,47.13,0,5,2,73,1
year 2018,,5,10,3,295,95*,42.14,515,57.28,0,3,0,36,0
year 2019,,7,13,0,258,75,19.84,503,51.29,0,1,3,35,1
year 2020,,2,3,0,104,71,34.66,182,57.14,0,1,0,13,0
year 2021,,4,7,2,268,61,53.60,636,42.13,0,2,0,31,0
year 2022,,8,16,2,561,93,40.07,1164,48.19,0,4,0,64,1
year 2023,,4,6,1,252,172,50.40,463,54.42,1,0,2,25,2
year 2024,,2,4,1,105,86,35.00,219,47.94,0,1,1,8,1
season 2014/15,,2,2,0,25,15,12.50,76,32.89,0,0,0,4,0
season 2015,,2,1,0,54,54,54.00,108,50.00,0,1,0,5,0
season 2015/16,,5,9,2,304,102*,43.42,627,48.48,1,1,2,41,2
season 2016,,2,3,1,94,46,47.00,239,39.33,0,0,0,14,0
season 2016/17,,9,15,0,372,89,24.80,842,44.18,0,4,2,47,0
season 2017,,4,8,0,257,59,32.12,573,44.85,0,2,0,32,0
season 2017/18,,5,8,3,289,95*,57.80,528,54.73,0,2,0,33,1
season 2018,,2,4,0,93,63,23.25,168,55.35,0,1,0,7,0
season 2018/19,,5,9,1,228,75,28.50,419,54.41,0,2,1,33,0
season 2019/20,,4,8,0,129,38,16.12,238,54.20,0,0,2,19,1
season 2020/21,,4,6,1,252,71,50.40,578,43.59,0,2,0,24,0
season 2021/22,,7,14,3,515,93,46.81,1064,48.40,0,4,0,66,1
season 2022/23,,5,10,1,385,172,42.77,746,51.60,1,1,2,37,2
season 2023/24,,1,-,-,-,-,-,-,-,-,-,-,-,-
season 2024,,2,4,1,105,86,35.00,219,47.94,0,1,1,8,1
