,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Avg,Econ,SR,5w,10w
overview,2013-2024,10,18,304.0,92,728,26,5/61,6/106,28.00,2.39,70.1,1,0
vs Bangladesh,2014-2018,4,7,105.2,41,219,7,3/19,3/44,31.28,2.07,90.2,0,0
vs Ireland,2024-2024,1,2,21.3,4,65,2,2/47,2/65,32.50,3.02,64.5,0,0
vs Pakistan,2013-2013,2,4,105.1,25,269,11,5/61,6/106,24.45,2.55,57.3,1,0
vs South Africa,2014-2014,1,2,29.0,13,39,2,1/5,2/39,19.50,1.34,87.0,0,0
vs West Indies,2013-2013,2,3,43.0,9,136,4,2/66,3/67,34.00,3.16,64.5,0,0
in Bangladesh,2014-2018,4,7,105.2,41,219,7,3/19,3/44,31.28,2.07,90.2,0,0
in Ireland,2024-2024,1,2,21.3,4,65,2,2/47,2/65,32.50,3.02,64.5,0,0
in West Indies,2013-2013,2,3,43.0,9,136,4,2/66,3/67,34.00,3.16,64.5,0,0
in Zimbabwe,2013-2014,3,6,134.1,38,308,13,5/61,6/106,23.69,2.29,61.9,1,0
in Africa,2013-2014,3,6,134.1,38,308,13,5/61,6/106,23.69,2.29,61.9,1,0
in Americas,2013-2013,2,3,43.0,9,136,4,2/66,3/67,34.00,3.16,64.5,0,0
in Asia,2014-2018,4,7,105.2,41,219,7,3/19,3/44,31.28,2.07,90.2,0,0
in Europe,2024-2024,1,2,21.3,4,65,2,2/47,2/65,32.50,3.02,64.5,0,0
home,2013-2014,3,6,134.1,38,308,13,5/61,6/106,23.69,2.29,61.9,1,0
away,2013-2024,7,12,169.5,54,420,13,3/19,3/44,32.30,2.47,78.3,0,0
year 2013,,4,7,148.1,34,405,15,5/61,6/106,27.00,2.73,59.2,1,0
year 2014,,3,6,93.0,36,180,5,2/61,2/39,36.00,1.93,111.6,0,0
year 2018,,2,3,41.2,18,78,4,3/19,3/44,19.50,1.88,62.0,0,0
year 2024,,1,2,21.3,4,65,2,2/47,2/65,32.50,3.02,64.5,0,0
season 2012/13,,2,3,43.0,9,136,4,2/66,3/67,34.00,3.16,64.5,0,0
season 2013,,2,4,105.1,25,269,11,5/61,6/106,24.45,2.55,57.3,1,0
