,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,4,4,0,45,35,11.25,53,84.90,0,0,0,3,3
vs South Africa,4,4,0,45,35,11.25,53,84.90,0,0,0,3,3
in South Africa,4,4,0,45,35,11.25,53,84.90,0,0,0,3,3
in Africa,4,4,0,45,35,11.25,53,84.90,0,0,0,3,3
away,4,4,0,45,35,11.25,53,84.90,0,0,0,3,3
year 2023,4,4,0,45,35,11.25,53,84.90,0,0,0,3,3
season 2023/24,4,4,0,45,35,11.25,53,84.90,0,0,0,3,3
*MR Marsh,4,4,0,45,35,11.25,53,84.90,0,0,0,3,3
is not captain,4,4,0,45,35,11.25,53,84.90,0,0,0,3,3
is not keeper,4,4,0,45,35,11.25,53,84.90,0,0,0,3,3
won the toss,3,3,0,44,35,14.66,49,89.79,0,0,0,3,3
lost the toss,1,1,0,1,1,1.00,4,25.00,0,0,0,0,0
won toss & fielded,3,3,0,44,35,14.66,49,89.79,0,0,0,3,3
lost toss & sent in,1,1,0,1,1,1.00,4,25.00,0,0,0,0,0
matches batting first,1,1,0,1,1,1.00,4,25.00,0,0,0,0,0
matches fielding first,3,3,0,44,35,14.66,49,89.79,0,0,0,3,3
1st team innings,4,4,0,45,35,11.25,53,84.90,0,0,0,3,3
1st match innings,1,1,0,1,1,1.00,4,25.00,0,0,0,0,0
2nd match innings,3,3,0,44,35,14.66,49,89.79,0,0,0,3,3
day match,1,1,0,1,1,1.00,6,16.66,0,0,0,0,0
day/night match,3,3,0,44,35,14.66,47,93.61,0,0,0,3,3
won match,1,1,0,1,1,1.00,4,25.00,0,0,0,0,0
lost match,3,3,0,44,35,14.66,49,89.79,0,0,0,3,3
won batting first,1,1,0,1,1,1.00,4,25.00,0,0,0,0,0
lost fielding first,3,3,0,44,35,14.66,49,89.79,0,0,0,3,3
2 team series,4,4,0,45,35,11.25,53,84.90,0,0,0,3,3
2nd match in series,1,1,0,1,1,1.00,4,25.00,0,0,0,0,0
3rd match in series,1,1,0,8,8,8.00,18,44.44,0,0,0,1,0
4th match in series,1,1,0,35,35,35.00,25,140.00,0,0,0,2,3
5th match in series,1,1,0,1,1,1.00,6,16.66,0,0,0,0,0
6th position,1,1,0,1,1,1.00,4,25.00,0,0,0,0,0
7th position,3,3,0,44,35,14.66,49,89.79,0,0,0,3,3
