,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2017-2024,32,54,6,1756,138,36.58,3485,50.38,4,10,4,220,5
vs Australia,2019-2024,4,8,0,236,121,29.50,432,54.62,1,0,1,28,0
vs Bangladesh,2022-2023,4,7,1,82,57*,13.66,136,60.29,0,1,2,12,0
vs England,2021-2023,6,11,1,684,138,68.40,1284,53.27,2,4,0,92,1
vs India,2020-2021,4,8,1,140,55,20.00,438,31.96,0,1,1,17,1
vs Pakistan,2020-2023,4,6,0,257,74,42.83,549,46.81,0,3,0,26,2
vs South Africa,2022-2024,4,6,1,166,96,33.20,281,59.07,0,1,0,22,0
vs Sri Lanka,2023-2023,2,3,1,27,17*,13.50,44,61.36,0,0,0,2,0
vs West Indies,2017-2020,4,5,1,164,107*,41.00,321,51.09,1,0,0,21,1
in Australia,2019-2020,2,4,0,172,121,43.00,344,50.00,1,0,0,21,0
in Bangladesh,2023-2023,2,4,0,14,6,3.50,47,29.78,0,0,1,2,0
in England,2021-2022,4,7,1,417,106,69.50,848,49.17,1,3,0,59,0
in India,2021-2021,2,4,0,23,13,5.75,162,14.19,0,0,1,1,0
in New Zealand,2017-2024,20,32,5,958,138,35.48,1725,55.53,2,5,2,121,3
in Pakistan,2022-2023,2,3,0,172,74,57.33,359,47.91,0,2,0,16,2
in Asia,2021-2023,6,11,0,209,74,19.00,568,36.79,0,2,2,19,2
in Europe,2021-2022,4,7,1,417,106,69.50,848,49.17,1,3,0,59,0
in Oceania,2017-2024,22,36,5,1130,138,36.45,2069,54.61,3,5,2,142,3
home,2017-2024,20,32,5,958,138,35.48,1725,55.53,2,5,2,121,3
away,2019-2023,12,22,1,798,121,38.00,1760,45.34,2,5,2,99,2
year 2017,,2,3,1,136,107*,68.00,239,56.90,1,0,0,17,1
year 2019,,1,2,0,136,121,68.00,229,59.38,1,0,0,17,0
year 2020,,6,10,1,250,64,27.77,609,41.05,0,2,0,31,1
year 2021,,4,6,0,73,34,12.16,293,24.91,0,0,1,9,0
year 2022,,8,13,2,644,106,58.54,1229,52.40,1,5,1,87,1
year 2023,,7,13,1,433,138,36.08,770,56.23,1,3,1,50,2
year 2024,,4,7,1,84,33,14.00,116,72.41,0,0,1,9,0
season 2017/18,,2,3,1,136,107*,68.00,239,56.90,1,0,0,17,1
season 2019/20,,4,8,1,289,121,41.28,620,46.61,1,1,0,37,1
season 2020/21,,4,5,0,113,64,22.60,272,41.54,0,1,0,14,0
season 2021,,1,1,0,34,34,34.00,77,44.15,0,0,0,5,0
season 2021/22,,6,10,1,237,96,26.33,504,47.02,0,2,2,31,0
season 2022,,3,6,1,383,106,76.60,771,49.67,1,3,0,54,0
season 2022/23,,6,10,1,466,138,51.77,839,55.54,1,3,0,51,3
season 2023/24,,6,11,1,98,33,9.80,163,60.12,0,0,2,11,0
*TWM Latham,2020-2022,9,14,1,436,106,33.53,834,52.27,1,2,2,60,0
*TG Southee,2022-2024,12,21,2,564,138,29.68,1002,56.28,1,3,2,62,3
*KS Williamson,2017-2022,11,19,3,756,121,47.25,1649,45.84,2,5,0,98,2
is not captain,2017-2024,32,54,6,1756,138,36.58,3485,50.38,4,10,4,220,5
is designated keeper,2017-2024,25,42,5,1368,138,36.97,2656,51.50,3,8,4,171,4
is not keeper,2019-2021,7,12,1,388,121,35.27,829,46.80,1,2,0,49,1
won the toss,2017-2024,13,23,3,1160,138,58.00,2149,53.97,3,8,1,146,4
lost the toss,2017-2024,19,31,3,596,106,21.28,1336,44.61,1,2,3,74,1
won toss & batted,2022-2023,3,6,1,378,96,75.60,763,49.54,0,5,0,49,1
won toss & fielded,2017-2024,10,17,2,782,138,52.13,1386,56.42,3,3,1,97,3
lost toss & sent in,2017-2024,10,16,3,388,106,29.84,694,55.90,1,2,1,51,0
lost toss & fielded,2020-2024,9,15,0,208,47,13.86,642,32.39,0,0,2,23,1
matches batting first,2017-2024,13,22,4,766,106,42.55,1457,52.57,1,7,1,100,1
matches fielding first,2017-2024,19,32,2,990,138,33.00,2028,48.81,3,3,3,120,4
1st team innings,2017-2024,32,32,3,1067,138,36.79,2103,50.73,3,4,1,133,3
2nd team innings,2017-2024,25,22,3,689,121,36.26,1382,49.85,1,6,3,87,2
1st match innings,2017-2024,13,13,2,405,106,36.81,773,52.39,1,3,0,53,0
2nd match innings,2017-2024,19,19,1,662,138,36.77,1330,49.77,2,1,1,80,3
3rd match innings,2017-2024,10,10,2,451,96,56.37,850,53.05,0,5,1,56,1
4th match innings,2019-2024,15,12,1,238,121,21.63,532,44.73,1,1,2,31,1
day match,2017-2024,31,52,6,1617,121,35.15,3294,49.08,3,10,4,201,4
day/night match,2023-2023,1,2,0,139,138,69.50,191,72.77,1,0,0,19,1
won match,2017-2024,17,25,5,730,107*,36.50,1387,52.63,1,5,1,90,2
lost match,2019-2024,12,24,1,839,138,36.47,1607,52.20,3,3,3,114,1
drawn match,2021-2023,3,5,0,187,74,37.40,491,38.08,0,2,0,16,2
won batting first,2017-2024,7,10,3,216,64,30.85,372,58.06,0,2,0,27,0
won fielding first,2017-2024,10,15,2,514,107*,39.53,1015,50.64,1,3,1,63,2
lost batting first,2022-2024,5,10,1,425,106,47.22,842,50.47,1,3,1,60,0
lost fielding first,2019-2024,7,14,0,414,138,29.57,765,54.11,2,0,2,54,1
drawn batting first,2023-2023,1,2,0,125,74,62.50,243,51.44,0,2,0,13,1
drawn fielding first,2021-2022,2,3,0,62,47,20.66,248,25.00,0,0,0,3,1
2 team series,2017-2024,32,54,6,1756,138,36.58,3485,50.38,4,10,4,220,5
5+ team tournaments,2019-2024,27,46,5,1319,121,32.17,2733,48.26,2,9,4,165,3
1st match in series,2017-2024,14,24,3,711,138,33.85,1438,49.44,2,3,2,83,3
2nd match in series,2017-2024,16,26,2,866,121,36.08,1649,52.51,2,5,2,111,2
3rd match in series,2020-2022,2,4,1,179,88*,59.66,398,44.97,0,2,0,26,0
ICC World Test Champ,2019-2024,27,46,5,1319,121,32.17,2733,48.26,2,9,4,165,3
Trans-Tasman Trophy,2019-2020,2,4,0,172,121,43.00,344,50.00,1,0,0,21,0
2nd position,2019-2021,7,12,1,388,121,35.27,829,46.80,1,2,0,49,1
5th position,2023-2023,1,1,0,74,74,74.00,135,54.81,0,1,0,7,1
6th position,2020-2024,19,30,2,594,106,21.21,1337,44.42,1,2,4,72,1
7th position,2021-2023,6,8,2,564,138,94.00,945,59.68,1,5,0,75,1
8th position,2017-2017,2,3,1,136,107*,68.00,239,56.90,1,0,0,17,1
