,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
overview,2,2,16.1,1,38,8,4/17,4.75,2.35,12.1,2,0
vs West Indies,2,2,16.1,1,38,8,4/17,4.75,2.35,12.1,2,0
in Australia,2,2,16.1,1,38,8,4/17,4.75,2.35,12.1,2,0
in Oceania,2,2,16.1,1,38,8,4/17,4.75,2.35,12.1,2,0
home,2,2,16.1,1,38,8,4/17,4.75,2.35,12.1,2,0
year 2024,2,2,16.1,1,38,8,4/17,4.75,2.35,12.1,2,0
season 2023/24,2,2,16.1,1,38,8,4/17,4.75,2.35,12.1,2,0
*SPD Smith,2,2,16.1,1,38,8,4/17,4.75,2.35,12.1,2,0
is not captain,2,2,16.1,1,38,8,4/17,4.75,2.35,12.1,2,0
is not keeper,2,2,16.1,1,38,8,4/17,4.75,2.35,12.1,2,0
won the toss,2,2,16.1,1,38,8,4/17,4.75,2.35,12.1,2,0
won toss & fielded,2,2,16.1,1,38,8,4/17,4.75,2.35,12.1,2,0
matches fielding first,2,2,16.1,1,38,8,4/17,4.75,2.35,12.1,2,0
1st team innings,2,2,16.1,1,38,8,4/17,4.75,2.35,12.1,2,0
1st match innings,2,2,16.1,1,38,8,4/17,4.75,2.35,12.1,2,0
won match,2,2,16.1,1,38,8,4/17,4.75,2.35,12.1,2,0
won fielding first,2,2,16.1,1,38,8,4/17,4.75,2.35,12.1,2,0
2 team series,2,2,16.1,1,38,8,4/17,4.75,2.35,12.1,2,0
1st match in series,1,1,9.0,1,17,4,4/17,4.25,1.88,13.5,1,0
3rd match in series,1,1,7.1,0,21,4,4/21,5.25,2.93,10.7,1,0
1st position,1,1,7.1,0,21,4,4/21,5.25,2.93,10.7,1,0
2nd position,1,1,9.0,1,17,4,4/17,4.25,1.88,13.5,1,0
