,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
overview,2022-2023,14,14,99.3,1,622,13,2/26,47.84,6.25,45.9,0,0
vs England,2023-2023,3,3,23.0,0,158,1,1/76,158.00,6.86,138.0,0,0
vs India,2023-2023,3,3,18.0,0,118,3,1/25,39.33,6.55,36.0,0,0
vs New Zealand,2022-2022,3,3,25.0,0,152,3,2/77,50.66,6.08,50.0,0,0
vs South Africa,2023-2023,2,2,8.3,0,96,1,1/47,96.00,11.29,51.0,0,0
vs U.A.E.,2023-2023,3,3,25.0,1,98,5,2/26,19.60,3.92,30.0,0,0
in South Africa,2023-2023,2,2,8.3,0,96,1,1/47,96.00,11.29,51.0,0,0
in U.A.E.,2023-2023,3,3,25.0,1,98,5,2/26,19.60,3.92,30.0,0,0
in West Indies,2022-2023,9,9,66.0,0,428,7,2/77,61.14,6.48,56.5,0,0
in Africa,2023-2023,2,2,8.3,0,96,1,1/47,96.00,11.29,51.0,0,0
in Americas,2022-2023,9,9,66.0,0,428,7,2/77,61.14,6.48,56.5,0,0
in Asia,2023-2023,3,3,25.0,1,98,5,2/26,19.60,3.92,30.0,0,0
home,2022-2023,9,9,66.0,0,428,7,2/77,61.14,6.48,56.5,0,0
away,2023-2023,5,5,33.3,1,194,6,2/26,32.33,5.79,33.5,0,0
year 2022,,3,3,25.0,0,152,3,2/77,50.66,6.08,50.0,0,0
year 2023,,11,11,74.3,1,470,10,2/26,47.00,6.30,44.7,0,0
season 2022,,3,3,25.0,0,152,3,2/77,50.66,6.08,50.0,0,0
season 2022/23,,2,2,8.3,0,96,1,1/47,96.00,11.29,51.0,0,0
season 2023,,6,6,43.0,1,216,8,2/26,27.00,5.02,32.2,0,0
season 2023/24,,3,3,23.0,0,158,1,1/76,158.00,6.86,138.0,0,0
*RL Chase,2023-2023,1,1,8.0,0,34,2,2/34,17.00,4.25,24.0,0,0
*SD Hope,2023-2023,10,10,66.3,1,436,8,2/26,54.50,6.55,49.8,0,0
*N Pooran,2022-2022,3,3,25.0,0,152,3,2/77,50.66,6.08,50.0,0,0
is not captain,2022-2023,14,14,99.3,1,622,13,2/26,47.84,6.25,45.9,0,0
is not keeper,2022-2023,14,14,99.3,1,622,13,2/26,47.84,6.25,45.9,0,0
won the toss,2022-2023,7,7,52.0,0,286,5,1/25,57.20,5.50,62.4,0,0
lost the toss,2022-2023,7,7,47.3,1,336,8,2/26,42.00,7.07,35.6,0,0
won toss & batted,2023-2023,2,2,15.0,0,85,2,1/38,42.50,5.66,45.0,0,0
won toss & fielded,2022-2023,5,5,37.0,0,201,3,1/25,67.00,5.43,74.0,0,0
lost toss & sent in,2022-2023,4,4,22.3,0,200,3,2/77,66.66,8.88,45.0,0,0
lost toss & fielded,2023-2023,3,3,25.0,1,136,5,2/26,27.20,5.44,30.0,0,0
matches batting first,2022-2023,6,6,37.3,0,285,5,2/77,57.00,7.60,45.0,0,0
matches fielding first,2022-2023,8,8,62.0,1,337,8,2/26,42.12,5.43,46.5,0,0
1st team innings,2022-2023,14,14,99.3,1,622,13,2/26,47.84,6.25,45.9,0,0
1st match innings,2022-2023,8,8,62.0,1,337,8,2/26,42.12,5.43,46.5,0,0
2nd match innings,2022-2023,6,6,37.3,0,285,5,2/77,57.00,7.60,45.0,0,0
day match,2023-2023,5,5,31.3,0,243,4,1/25,60.75,7.71,47.2,0,0
day/night match,2022-2023,9,9,68.0,1,379,9,2/26,42.11,5.57,45.3,0,0
won match,2022-2023,8,8,62.0,1,338,9,2/26,37.55,5.45,41.3,0,0
lost match,2022-2023,6,6,37.3,0,284,4,2/77,71.00,7.57,56.2,0,0
won batting first,2023-2023,2,2,15.0,0,85,2,1/38,42.50,5.66,45.0,0,0
won fielding first,2022-2023,6,6,47.0,1,253,7,2/26,36.14,5.38,40.2,0,0
lost batting first,2022-2023,4,4,22.3,0,200,3,2/77,66.66,8.88,45.0,0,0
lost fielding first,2022-2023,2,2,15.0,0,84,1,1/58,84.00,5.60,90.0,0,0
2 team series,2022-2023,14,14,99.3,1,622,13,2/26,47.84,6.25,45.9,0,0
5+ team tournaments,2022-2022,3,3,25.0,0,152,3,2/77,50.66,6.08,50.0,0,0
1st match in series,2022-2023,4,4,31.0,1,186,5,2/26,37.20,6.00,37.2,0,0
2nd match in series,2022-2023,5,5,32.0,0,175,3,1/25,58.33,5.46,64.0,0,0
3rd match in series,2022-2023,5,5,36.3,0,261,5,2/34,52.20,7.15,43.8,0,0
5th position,2022-2023,6,6,47.0,0,275,5,2/34,55.00,5.85,56.4,0,0
6th position,2022-2023,8,8,52.3,1,347,8,2/26,43.37,6.60,39.3,0,0
