,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2021-2023,3,5,0,98,66,19.60,161,60.86,0,1,0,14,1
vs AUS Women,2021-2023,2,3,0,23,19,7.66,59,38.98,0,0,0,3,0
vs ENG Women,2023-2023,1,2,0,75,66,37.50,102,73.52,0,1,0,11,1
in Australia,2021-2021,1,2,0,22,19,11.00,52,42.30,0,0,0,3,0
in India,2023-2023,2,3,0,76,66,25.33,109,69.72,0,1,0,11,1
in Asia,2023-2023,2,3,0,76,66,25.33,109,69.72,0,1,0,11,1
in Oceania,2021-2021,1,2,0,22,19,11.00,52,42.30,0,0,0,3,0
home,2023-2023,2,3,0,76,66,25.33,109,69.72,0,1,0,11,1
away,2021-2021,1,2,0,22,19,11.00,52,42.30,0,0,0,3,0
year 2021,,1,2,0,22,19,11.00,52,42.30,0,0,0,3,0
year 2023,,2,3,0,76,66,25.33,109,69.72,0,1,0,11,1
season 2021/22,,1,2,0,22,19,11.00,52,42.30,0,0,0,3,0
season 2023/24,,2,3,0,76,66,25.33,109,69.72,0,1,0,11,1
*H Kaur,2023-2023,2,3,0,76,66,25.33,109,69.72,0,1,0,11,1
*M Raj,2021-2021,1,2,0,22,19,11.00,52,42.30,0,0,0,3,0
is not captain,2021-2023,3,5,0,98,66,19.60,161,60.86,0,1,0,14,1
is designated keeper,2023-2023,2,3,0,76,66,25.33,109,69.72,0,1,0,11,1
is not keeper,2021-2021,1,2,0,22,19,11.00,52,42.30,0,0,0,3,0
won the toss,2023-2023,1,2,0,75,66,37.50,102,73.52,0,1,0,11,1
lost the toss,2021-2023,2,3,0,23,19,7.66,59,38.98,0,0,0,3,0
won toss & batted,2023-2023,1,2,0,75,66,37.50,102,73.52,0,1,0,11,1
lost toss & sent in,2021-2021,1,2,0,22,19,11.00,52,42.30,0,0,0,3,0
lost toss & fielded,2023-2023,1,1,0,1,1,1.00,7,14.28,0,0,0,0,0
matches batting first,2021-2023,2,4,0,97,66,24.25,154,62.98,0,1,0,14,1
matches fielding first,2023-2023,1,1,0,1,1,1.00,7,14.28,0,0,0,0,0
1st team innings,2021-2023,3,3,0,86,66,28.66,135,63.70,0,1,0,13,1
2nd team innings,2021-2023,3,2,0,12,9,6.00,26,46.15,0,0,0,1,0
1st match innings,2021-2023,2,2,0,85,66,42.50,128,66.40,0,1,0,13,1
2nd match innings,2023-2023,1,1,0,1,1,1.00,7,14.28,0,0,0,0,0
3rd match innings,2021-2023,2,2,0,12,9,6.00,26,46.15,0,0,0,1,0
4th match innings,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
day match,2023-2023,2,3,0,76,66,25.33,109,69.72,0,1,0,11,1
day/night match,2021-2021,1,2,0,22,19,11.00,52,42.30,0,0,0,3,0
won match,2023-2023,2,3,0,76,66,25.33,109,69.72,0,1,0,11,1
drawn match,2021-2021,1,2,0,22,19,11.00,52,42.30,0,0,0,3,0
won batting first,2023-2023,1,2,0,75,66,37.50,102,73.52,0,1,0,11,1
won fielding first,2023-2023,1,1,0,1,1,1.00,7,14.28,0,0,0,0,0
drawn batting first,2021-2021,1,2,0,22,19,11.00,52,42.30,0,0,0,3,0
2 team series,2021-2023,3,5,0,98,66,19.60,161,60.86,0,1,0,14,1
only match in series,2021-2023,3,5,0,98,66,19.60,161,60.86,0,1,0,14,1
3rd position,2021-2023,2,2,0,12,9,6.00,26,46.15,0,0,0,1,0
5th position,2021-2021,1,1,0,19,19,19.00,40,47.50,0,0,0,3,0
6th position,2023-2023,1,1,0,66,66,66.00,88,75.00,0,1,0,10,1
7th position,2023-2023,1,1,0,1,1,1.00,7,14.28,0,0,0,0,0
