Rank,Rating,Name,Career Best Womens T20 Rating,Career Best Womens T20 Ranking
1,320,Mohammad Mohammad Nabi,,"349 v Ireland, 15/03/2017"
2,292,Shakib Al Hasan,,"453 v Zimbabwe, 05/11/2009"
3,288,Sikandar Raza,,"292 v Sri Lanka, 08/01/2024"
4,248,Assad Vala,,"252 v Nepal, 03/03/2023"
5,239,Rashid Khan,,"359 v Pakistan, 21/09/2018"
6,238,Gerhard Erasmus,,"240 v Scotland, 20/07/2024"
7,237,Glenn Maxwell,,"351 v England, 11/09/2015"
8,233,Mitchell Santner,,"317 v England, 10/03/2018"
9,230,Mehidy Hasan,,"295 v India, 07/12/2022"
10,229,Zeeshan Maqsood,,"262 v Ireland, 19/06/2023"
