Rank,Rating,Name,Career Best Womens T20 Rating,Career Best Womens T20 Ranking
1,824,Babar Azam,,"898 v West Indies, 10/06/2022"
2,765,Rohit Sharma,,"885 v Sri Lanka, 06/07/2019"
3,763,Shubman Gill,,"847 v Australia, 24/09/2023"
4,746,Virat Kohli,,"911 v England, 12/07/2018"
4,746,Harry Tector,,"767 v Afghanistan, 07/03/2024"
6,728,Daryl Mitchell,,"750 v India, 15/11/2023"
7,723,David Warner,,"880 v Pakistan, 26/01/2017"
8,708,Pathum Nissanka,,"728 v Bangladesh, 15/03/2024"
9,707,Dawid Malan,,"730 v Netherlands, 08/11/2023"
10,701,Rassie van der Dussen,,"796 v England, 19/07/2022"
11,697,Heinrich Klaasen,,"756 v Bangladesh, 24/10/2023"
12,682,Fakhar Zaman,,"784 v New Zealand, 29/04/2023"
13,676,Shai Hope,,"808 v Bangladesh, 17/05/2019"
14,673,Ibrahim Zadran,,"692 v Australia, 07/11/2023"
15,672,Imam-ul-Haq,,"815 v West Indies, 12/06/2022"
16,658,Shreyas Iyer,,"710 v New Zealand, 15/11/2023"
17,656,Kariyawasa Asalanka,,"683 v Bangladesh, 15/03/2024"
18,654,Travis Head,,"679 v India, 19/11/2023"
18,654,David Miller,,"673 v Australia, 16/11/2023"
20,649,Rahmanullah Gurbaz,,"649 v Pakistan, 23/10/2023"
21,644,Steve Smith,,"752 v Pakistan, 22/01/2017"
21,644,Lokesh Rahul,,"674 v South Africa, 19/12/2023"
23,626,Marnus Labuschagne,,"629 v India, 19/11/2023"
24,623,Aiden Markram,,"656 v Pakistan, 27/10/2023"
25,611,Paul Stirling,,"697 v Netherlands, 04/06/2021"
26,606,Mushfiqur Rahim,,"739 v Sri Lanka, 25/05/2021"
27,600,Glenn Maxwell,,"735 v India, 20/01/2016"
28,598,Scott Edwards,,"648 v Bangladesh, 28/10/2023"
28,598,Gerhard Erasmus,,"618 v UAE, 02/04/2023"
30,597,Jos Buttler,,"741 v Bangladesh, 08/06/2019"
30,597,Mohammad Rizwan,,"597 v England, 11/11/2023"
32,596,Temba Bavuma,,"691 v Australia, 12/09/2023"
33,589,Tom Latham,,"657 v Pakistan, 09/01/2023"
34,587,Sikandar Raza,,"627 v India, 22/08/2022"
35,583,Kane Williamson,,"799 v India, 09/07/2019"
36,580,Will Young,,"581 v Bangladesh, 20/12/2023"
37,578,Rahmat Shah,,"635 v Sri Lanka, 27/11/2022"
38,576,Ben Stokes,,"694 v New Zealand, 14/07/2019"
39,574,Kusal Mendis,,"631 v Zimbabwe, 30/06/2017"
39,574,Nazmul Shanto,,"587 v Sri Lanka, 15/03/2024"
41,573,Jonny Bairstow,,"796 v India, 26/03/2021"
42,569,Jason Roy,,"782 v Australia, 11/07/2019"
43,565,Joe Root,,"824 v Sri Lanka, 13/10/2018"
43,565,Nicholas Pooran,,"634 v Ireland, 12/01/2020"
45,562,Devon Conway,,"602 v Bangladesh, 13/10/2023"
46,560,Mitchell Marsh,,"641 v New Zealand, 06/12/2016"
46,560,George Munsey,,"587 v Namibia, 10/07/2022"
48,541,Max O'Dowd,,"541 v United States, 21/08/2024"
49,539,Sadeera Samarawickrama,,"575 v Afghanistan, 14/02/2024"
50,538,Shakib Al Hasan,,"692 v Pakistan, 05/07/2019"
51,536,Assad Vala,,"550 v Nepal, 27/02/2023"
52,533,Sean Williams,,"571 v Sri Lanka, 02/07/2023"
53,532,Hashmatullah Shahidi,,"545 v Netherlands, 03/11/2023"
53,532,Rachin Ravindra,,"560 v Sri Lanka, 09/11/2023"
55,530,Monank Patel,,"554 v Papua New Guinea, 25/11/2022"
56,520,Azmatullah Omarzai,,"540 v Sri Lanka, 09/02/2024"
57,519,Ishan Kishan,,"625 v Sri Lanka, 12/09/2023"
57,519,Mahmudullah,,"595 v India, 07/12/2022"
59,518,Vriitya Aravind,,"538 v Oman, 21/06/2023"
60,515,Aqib Ilyas,,"578 v United States, 11/02/2020"
61,514,Richard Berrington,,"535 v United States, 29/05/2022"
62,511,Aaron Jones,,"540 v Papua New Guinea, 02/04/2023"
62,511,Andrew Balbirnie,,"584 v South Africa, 13/07/2021"
64,510,Liton Liton Das,,"627 v Zimbabwe, 05/08/2022"
65,506,Alex Carey,,"656 v New Zealand, 06/09/2022"
66,504,Muhammad Waseem,,"511 v Nepal, 01/05/2023"
67,501,Avishka Fernando,,"591 v South Africa, 02/09/2021"
68,492,Gajanand Singh,,"512 v UAE, 06/07/2023"
68,492,Tamim Iqbal,,"737 v West Indies, 28/07/2018"
70,488,Zeeshan Maqsood,,"514 v Ireland, 19/06/2023"
70,488,Mohammad Mohammad Nabi,,"545 v Bangladesh, 28/09/2016"
72,487,Curtis Campher,,"487 v Afghanistan, 12/03/2024"
73,484,Michael van Lingen,,"491 v Oman, 24/07/2024"
74,481,Glenn Phillips,,"496 v India, 15/11/2023"
75,478,Aasif Sheikh,,"496 v Papua New Guinea, 13/03/2023"
76,477,Singh,,"477 v United States, 21/08/2024"
77,476,Towhid Hridoy,,"476 v Sri Lanka, 15/03/2024"
78,474,Janith Liyanage,,"474 v India, 04/08/2024"
78,474,Kushal Bhurtel,,"474 v Netherlands, 25/02/2024"
80,472,Kyle Coetzer,,"647 v Ireland, 18/03/2018"
81,471,Michael Leask,,"491 v UAE, 23/06/2023"
82,468,Asif Khan,,"476 v United States, 06/07/2023"
83,465,Brandon McMullen,,"471 v Oman, 22/07/2024"
84,464,Ayaan Khan,,"476 v West Indies, 05/07/2023"
85,463,Henry Nicholls,,"596 v Bangladesh, 20/03/2021"
86,460,Craig Ervine,,"524 v Afghanistan, 18/10/2015"
87,456,Tony de Zorzi,,"456 v India, 21/12/2023"
88,448,Iftikhar Ahmed,,"453 v Bangladesh, 31/10/2023"
89,444,Kashyap Prajapati,,"464 v West Indies, 05/07/2023"
89,444,Brandon King,,"471 v Oman, 05/07/2023"
91,443,Steven Taylor,,"501 v Jersey, 04/04/2023"
92,442,R.K. Paudel,,"519 v Papua New Guinea, 27/02/2023"
93,437,Najibullah Zadran,,"555 v Sri Lanka, 30/11/2022"
94,436,J.J. Smit,,"440 v Oman, 24/07/2024"
94,436,Shoaib Khan,,"436 v Namibia, 24/07/2024"
96,435,Jatinder Singh,,"506 v UAE, 29/04/2023"
96,435,George Dockrell,,"460 v England, 23/09/2023"
98,431,Soumya Sarkar,,"671 v South Africa, 15/07/2015"
98,431,Tony Ura,,"431 v Canada, 05/04/2023"
100,429,Ryan Burl,,"437 v Scotland, 04/07/2023"
