Rank,Rating,Name,Career Best Womens T20 Rating,Career Best Womens T20 Ranking
1,716,Keshav Maharaj,,"741 v Australia, 16/11/2023"
2,688,Josh Hazlewood,,"733 v England, 26/01/2018"
3,686,Adam Zampa,,"695 v Bangladesh, 11/11/2023"
4,665,Kuldeep Yadav,,"765 v New Zealand, 26/01/2019"
5,657,Bernard Scholtz,,"657 v Oman, 24/07/2024"
6,656,Mohammad Mohammad Nabi,,"657 v Zimbabwe, 09/06/2022"
7,650,Shaheen Afridi,,"688 v West Indies, 10/06/2022"
8,645,Jasprit Bumrah,,"841 v West Indies, 01/11/2018"
9,643,Trent Boult,,"775 v Australia, 11/09/2022"
9,643,Mohammed Siraj,,"736 v New Zealand, 21/01/2023"
11,634,Rashid Khan,,"806 v Pakistan, 21/09/2018"
12,610,Mohammad Shami,,"657 v New Zealand, 15/11/2023"
13,604,Maheesh Theekshana,,"648 v Zimbabwe, 11/01/2024"
13,604,Mitchell Starc,,"783 v New Zealand, 29/03/2015"
15,599,Kagiso Rabada,,"724 v England, 29/05/2017"
16,596,Chris Woakes,,"711 v Sri Lanka, 04/07/2021"
17,593,Matt Henry,,"691 v Bangladesh, 26/03/2021"
18,591,Mujeeb Ur Rahman,,"712 v Ireland, 24/01/2021"
19,585,Mark Watt,,"622 v West Indies, 01/07/2023"
20,582,Mitchell Santner,,"663 v England, 25/02/2018"
21,563,Rauf,,"582 v Sri Lanka, 10/10/2023"
21,563,Saurabh Netravalkar,,"597 v Nepal, 20/06/2023"
23,555,Ravindra Jadeja,,"738 v Zimbabwe, 01/08/2013"
23,555,Mohammad Shoriful Islam,,"561 v Sri Lanka, 15/03/2024"
25,553,Andy McBrine,,"646 v West Indies, 16/01/2022"
26,550,Mark Adair,,"566 v Zimbabwe, 17/12/2023"
27,548,Richard Ngarava,,"553 v Sri Lanka, 08/01/2024"
28,545,Pat Cummins,,"729 v Pakistan, 12/06/2019"
29,544,Shakib Al Hasan,,"717 v Zimbabwe, 05/11/2009"
30,543,Wanindu De Silva,,"582 v Oman, 23/06/2023"
31,541,Mehidy Hasan,,"725 v Sri Lanka, 25/05/2021"
31,541,Adil Rashid,,"687 v Sri Lanka, 20/10/2018"
33,537,Marco Jansen,,"573 v New Zealand, 01/11/2023"
34,535,Aryan Dutt,,"540 v Canada, 17/08/2024"
34,535,Lungi Ngidi,,"621 v Australia, 04/03/2020"
36,530,Sean Abbott,,"530 v West Indies, 06/02/2024"
36,530,Akeal Hosein,,"597 v South Africa, 21/03/2023"
38,529,Dilshan Madushanka,,"551 v Bangladesh, 15/03/2024"
39,517,Joshua Little,,"533 v Zimbabwe, 21/01/2023"
40,515,Reece Topley,,"558 v South Africa, 21/10/2023"
41,512,Aayan Afzal Khan,,"517 v Sri Lanka, 19/06/2023"
42,508,Fazalhaq Farooqi,,"544 v Pakistan, 24/08/2023"
42,508,Taskin Ahmed,,"528 v West Indies, 10/07/2022"
44,505,Mustafizur Rahman,,"695 v West Indies, 14/12/2018"
44,505,Mohammad Wasim,,"505 v England, 11/11/2023"
46,503,Alzarri Joseph,,"625 v South Africa, 21/03/2023"
47,502,Sandeep Lamichhane,,"595 v Papua New Guinea, 13/03/2023"
48,500,Tabraiz Shamsi,,"597 v Bangladesh, 20/03/2022"
49,497,Jofra Archer,,"642 v Australia, 13/09/2020"
50,495,Nosthush Kenjige,,"499 v Canada, 13/08/2024"
51,493,Kaleemullah,,"493 v Namibia, 24/07/2024"
52,492,Sikandar Raza,,"494 v UAE, 16/04/2019"
53,486,Gudakesh Motie-Kanhai,,"516 v Australia, 04/02/2024"
54,485,Lalit Rajbanshi,,"487 v Netherlands, 17/02/2024"
55,484,Lockie Ferguson,,"668 v West Indies, 22/06/2019"
55,484,Bilal Khan,,"545 v United States, 12/06/2022"
