Rank,Rating,Name,Career Best Womens T20 Rating,Career Best Womens T20 Ranking
1,211,Marcus Stoinis,,"232 v Namibia, 11/06/2024"
2,208,Sikandar Raza,,"212 v India, 06/07/2024"
3,206,Shakib Al Hasan,,"408 v Pakistan, 24/04/2015"
3,206,Wanindu De Silva,,"239 v Afghanistan, 19/02/2024"
5,205,Mohammad Mohammad Nabi,,"355 v Bangladesh, 15/09/2019"
6,199,Hardik Pandya,,"266 v West Indies, 08/08/2023"
6,199,Dipendra Airee,,"199 v Bangladesh, 16/06/2024"
8,187,Liam Livingstone,,"206 v Pakistan, 30/05/2024"
9,174,Moeen Ali,,"224 v South Africa, 28/07/2022"
10,173,Aiden Markram,,"212 v India, 12/12/2023"
