Rank,Rating,Name,Career Best Womens T20 Rating,Career Best Womens T20 Ranking
1,844,Travis Head,,"844 v India, 24/06/2024"
2,805,Suryakumar Yadav,,"910 v New Zealand, 27/01/2023"
3,797,Philip Salt,,"833 v West Indies, 19/06/2024"
4,757,Yashasvi Jaiswal,,"779 v Sri Lanka, 28/07/2024"
5,755,Babar Azam,,"896 v England, 05/05/2019"
6,746,Mohammad Rizwan,,"875 v England, 28/09/2022"
7,716,Jos Buttler,,"720 v Oman, 13/06/2024"
8,668,Nicholas Pooran,,"668 v South Africa, 27/08/2024"
9,664,Ruturaj Gaikwad,,"706 v Zimbabwe, 10/07/2024"
10,641,Aiden Markram,,"796 v England, 06/11/2021"
11,636,Johnson Charles,,"669 v England, 19/06/2024"
11,636,Rahmanullah Gurbaz,,"648 v Bangladesh, 24/06/2024"
11,636,Brandon King,,"704 v South Africa, 26/05/2024"
14,629,Jonny Bairstow,,"642 v South Africa, 21/06/2024"
14,629,Pathum Nissanka,,"698 v Pakistan, 09/09/2022"
16,627,Reeza Hendricks,,"709 v West Indies, 25/05/2024"
17,620,Glenn Phillips,,"703 v England, 01/11/2022"
18,618,Kusal Mendis,,"618 v India, 30/07/2024"
19,617,Mitchell Marsh,,"652 v South Africa, 01/09/2023"
20,614,Shubman Gill,,"613 v Sri Lanka, 30/07/2024"
21,612,Quinton de Kock,,"658 v Australia, 23/10/2021"
21,612,Finn Allen,,"723 v Pakistan, 17/01/2024"
23,599,Muhammad Waseem,,"716 v Afghanistan, 19/02/2023"
24,597,Tim Seifert,,"685 v Pakistan, 22/12/2020"
25,592,Rilee Rossouw,,"724 v West Indies, 28/03/2023"
26,589,Tim David,,"603 v Scotland, 15/06/2024"
27,587,Towhid Hridoy,,"600 v Australia, 20/06/2024"
28,585,Ibrahim Zadran,,"605 v Australia, 22/06/2024"
29,578,Michael Levitt,,"622 v United States, 25/08/2024"
30,577,Glenn Maxwell,,"836 v Sri Lanka, 27/10/2019"
30,577,George Munsey,,"600 v Netherlands, 19/09/2019"
32,565,Harry Brook,,"567 v South Africa, 21/06/2024"
33,562,Shai Hope,,"562 v South Africa, 27/08/2024"
34,557,Tristan Stubbs,,"557 v West Indies, 27/08/2024"
35,546,Devon Conway,,"831 v Australia, 22/10/2022"
36,545,David Warner,,"826 v West Indies, 11/05/2010"
