Rank,Rating,Name,Career Best Womens T20 Rating,Career Best Womens T20 Ranking
1,718,Adil Rashid,,"746 v West Indies, 30/01/2022"
2,695,Akeal Hosein,,"695 v South Africa, 27/08/2024"
3,668,Rashid Khan,,"816 v Bangladesh, 05/06/2018"
4,664,Gudakesh Motie-Kanhai,,"674 v South Africa, 25/08/2024"
5,663,Wanindu De Silva,,"797 v West Indies, 04/11/2021"
6,662,Josh Hazlewood,,"806 v Sri Lanka, 13/02/2022"
7,655,Anrich Nortje,,"695 v India, 12/06/2022"
8,654,Adam Zampa,,"743 v Sri Lanka, 11/02/2022"
9,645,Fazalhaq Farooqi,,"692 v Pakistan, 27/03/2023"
10,640,Maheesh Theekshana,,"684 v New Zealand, 08/04/2023"
11,635,Ravi Bishnoi,,"699 v Australia, 03/12/2023"
12,627,Axar Patel,,"667 v Afghanistan, 14/01/2024"
13,623,Shaheen Afridi,,"634 v Australia, 05/04/2022"
14,622,Tim Southee,,"669 v Bangladesh, 01/04/2021"
15,620,Mustafizur Rahman,,"695 v Sri Lanka, 06/04/2017"
16,615,Arshdeep Singh,,"635 v New Zealand, 01/02/2023"
17,614,Alzarri Joseph,,"646 v England, 14/12/2023"
18,613,Reece Topley,,"662 v Australia, 12/10/2022"
19,610,Tabraiz Shamsi,,"821 v West Indies, 03/07/2021"
20,605,Mitchell Santner,,"731 v Pakistan, 22/01/2018"
21,603,Kuldeep Yadav,,"728 v New Zealand, 10/02/2019"
22,602,Nathan Ellis,,"620 v Scotland, 15/06/2024"
23,600,Keshav Maharaj,,"662 v India, 04/10/2022"
24,591,Jasprit Bumrah,,"764 v England, 01/02/2017"
25,590,Naveen Murid,,"590 v South Africa, 26/06/2024"
26,589,Taskin Ahmed,,"597 v South Africa, 10/06/2024"
26,589,Rishad Hossain,,"596 v Australia, 20/06/2024"
28,583,Rauf,,"657 v New Zealand, 15/04/2023"
29,581,Lockie Ferguson,,"581 v Papua New Guinea, 17/06/2024"
31,573,Ish Sodhi,,"661 v Bangladesh, 28/03/2021"
32,563,Imad Wasim,,"780 v West Indies, 02/04/2017"
33,559,Sam Curran,,"688 v Pakistan, 13/11/2022"
34,556,Mujeeb Ur Rahman,,"745 v Ireland, 08/03/2020"
35,553,Jofra Archer,,"559 v India, 20/03/2021"
36,548,Kagiso Rabada,,"595 v West Indies, 25/03/2016"
37,539,Hasan,,"632 v West Indies, 07/07/2022"
38,538,Pat Cummins,,"610 v England, 31/08/2015"
39,536,Mark Watt,,"603 v New Zealand, 03/11/2021"
40,530,Trent Boult,,"653 v Sri Lanka, 29/10/2022"
41,527,Washington Sundar,,"631 v England, 16/03/2021"
42,516,Shakib Al Hasan,,"672 v Pakistan, 30/03/2014"
43,509,Ashton Agar,,"717 v England, 06/09/2020"
44,501,Blessing Muzarabani,,"501 v India, 14/07/2024"
45,500,Mohammed Siraj,,"497 v Sri Lanka, 30/07/2024"
46,499,Jason Holder,,"588 v England, 14/12/2023"
46,499,Mark Adair,,"573 v Namibia, 02/11/2019"
48,496,Mitchell Starc,,"702 v Pakistan, 05/10/2014"
49,493,Naseem Shah,,"578 v Afghanistan, 24/03/2023"
50,483,Paul van Meekeren,,"552 v Ireland, 13/06/2018"
51,481,Richard Ngarava,,"526 v Namibia, 22/11/2023"
51,481,Shadab Khan,,"769 v Scotland, 13/06/2018"
53,479,Aayan Afzal Khan,,"527 v Scotland, 14/03/2024"
54,478,Roston Chase,,"491 v South Africa, 23/06/2024"
54,478,Chris Jordan,,"659 v New Zealand, 03/11/2019"
56,477,Nuwan Thushara,,"492 v Netherlands, 16/06/2024"
57,472,Wayne Parnell,,"577 v West Indies, 28/03/2023"
57,472,Mark Wood,,"610 v Sri Lanka, 24/06/2021"
59,468,Chris Woakes,,"580 v Pakistan, 13/11/2022"
59,468,Mohammad Wasim,,"609 v Netherlands, 30/10/2022"
61,465,Joshua Little,,"528 v New Zealand, 04/11/2022"
62,462,Obed McCoy,,"567 v India, 02/08/2022"
63,461,Mohammad Amir,,"700 v Australia, 07/07/2010"
64,460,Tanzim Hasan Sakib,,"466 v India, 22/06/2024"
65,456,Logan van Beek,,"495 v South Africa, 08/06/2024"
66,455,Vivian Kingma,,"470 v South Africa, 08/06/2024"
66,455,Hardik Pandya,,"545 v South Africa, 24/02/2018"
66,455,Mohammad Shoriful Islam,,"513 v West Indies, 03/07/2022"
69,453,Bradley Currie,,"462 v Namibia, 06/06/2024"
70,447,Matt Henry,,"490 v Pakistan, 21/01/2024"
71,445,Michael Bracewell,,"548 v India, 29/01/2023"
71,445,Ottneil Baartman,,"462 v West Indies, 25/08/2024"
73,442,Sikandar Raza,,"455 v India, 10/07/2024"
74,435,Mohammad Mohammad Nabi,,"638 v West Indies, 27/03/2016"
74,435,Harmeet Singh,,"435 v Netherlands, 28/08/2024"
76,434,Marco Jansen,,"448 v Afghanistan, 26/06/2024"
77,432,Hasan Mahmud,,"529 v Ireland, 29/03/2023"
77,432,Nasum Ahmed,,"637 v Afghanistan, 05/03/2022"
79,431,Ben Sears,,"449 v Pakistan, 27/04/2024"
79,431,Matheesha Pathirana,,"448 v India, 27/07/2024"
82,426,Barry McCarthy,,"426 v Pakistan, 16/06/2024"
83,424,Safyaan Sharif,,"501 v Ireland, 15/02/2019"
84,423,Mukesh Kumar,,"436 v Zimbabwe, 14/07/2024"
85,421,Marcus Stoinis,,"457 v Namibia, 11/06/2024"
85,421,Jason Behrendorff,,"465 v West Indies, 13/02/2024"
87,419,Adam Milne,,"661 v Pakistan, 22/03/2016"
88,417,Lungi Ngidi,,"568 v Pakistan, 03/11/2022"
89,416,Lahiru Kumara,,"501 v England, 05/11/2022"
90,415,Zahoor Khan,,"501 v New Zealand, 17/08/2023"
91,413,Mohammad Nawaz,,"560 v England, 28/09/2022"
91,413,Bernard Scholtz,,"521 v Zimbabwe, 22/11/2023"
93,412,Fred Klaassen,,"473 v South Africa, 06/11/2022"
94,410,Sompal Kami,,"419 v Oman, 10/10/2019"
95,404,Yuzvendra Chahal,,"706 v Bangladesh, 18/03/2018"
96,398,Dipendra Airee,,"398 v Bangladesh, 16/06/2024"
97,395,Andre Russell,,"468 v England, 03/04/2016"
97,395,Tim Pringle,,"411 v Sri Lanka, 16/06/2024"
99,394,Tendai Chatara,,"478 v Namibia, 30/10/2023"
100,389,Siddique,,"437 v Scotland, 13/03/2024"
101,388,Chamika Karunaratne,,"498 v Australia, 25/10/2022"
101,388,Dushmantha Chameera,,"555 v India, 29/07/2021"
