Rank,Rating,Name,Career Best Womens T20 Rating,Career Best Womens T20 Ranking
1,767,Natalie Sciver,,"807 v Sri Lanka, 14/09/2023"
2,756,Laura Wolvaardt,,"756 v India, 23/06/2024"
3,738,Smriti Mandhana,,"797 v England, 28/02/2019"
4,733,Chamari Athapaththu,,"773 v South Africa, 17/04/2024"
5,704,Beth Mooney,,"776 v England, 12/07/2023"
6,689,Ellyse Perry,,"766 v West Indies, 11/09/2019"
7,682,Marizanne Kapp,,"698 v India, 19/06/2024"
8,663,Alyssa Healy,,"785 v England, 03/04/2022"
9,648,Harmanpreet Kaur,,"731 v England, 21/09/2022"
10,647,Hayley Matthews,,"666 v Pakistan, 23/04/2024"
11,637,Sophie Devine,,"678 v Australia, 03/03/2019"
12,635,Amelia Kerr,,"643 v Pakistan, 12/12/2023"
13,625,Tammy Beaumont,,"791 v India, 27/06/2021"
14,606,Amy Jones,,"618 v New Zealand, 03/07/2024"
15,570,Ashleigh Gardner,,"579 v Ireland, 25/07/2023"
16,551,Suzie Bates,,"775 v Australia, 24/02/2016"
17,543,Stafanie Taylor,,"766 v Pakistan, 07/07/2021"
18,537,Deepti Sharma,,"622 v South Africa, 09/10/2019"
19,536,Heather Knight,,"693 v West Indies, 06/06/2019"
20,535,Nattakan Chantam,,"535 v Netherlands, 07/07/2023"
21,530,Fargana Hoque,,"602 v South Africa, 20/12/2023"
22,526,Sidra Ameen,,"595 v New Zealand, 12/12/2023"
23,523,Chloe-Lesleigh Tryon,,"587 v New Zealand, 24/09/2023"
24,516,Gaby Lewis,,"588 v Zimbabwe, 21/01/2024"
25,509,Danielle Wyatt,,"572 v West Indies, 04/12/2022"
26,503,Orla Prendergast,,"519 v England, 07/09/2024"
27,500,Maia Bouchier,,"510 v New Zealand, 03/07/2024"
28,498,Maddy Green,,"535 v Pakistan, 18/12/2023"
29,477,Sune Luus,,"546 v Ireland, 17/06/2022"
30,475,Harshitha Madavi,,"475 v Ireland, 20/08/2024"
31,471,Aliya Riaz,,"527 v Australia, 08/03/2022"
32,464,Nilakshi de Silva,,"464 v Ireland, 18/08/2024"
33,463,Jemimah Rodriques,,"463 v South Africa, 23/06/2024"
34,462,Leah Paul,,"481 v England, 07/09/2024"
35,461,Tahlia McGrath,,"477 v South Africa, 10/02/2024"
36,457,Phoebe Litchfield,,"539 v India, 02/01/2024"
37,455,Amy Hunter,,"466 v England, 07/09/2024"
38,449,Nigar Sultana,,"509 v South Africa, 16/12/2023"
39,445,Nida Dar,,"487 v Bangladesh, 07/11/2023"
40,438,Brooke Halliday,,"449 v England, 26/09/2021"
40,438,Tazmin Brits,,"443 v Sri Lanka, 09/04/2024"
40,438,Laura Delany,,"490 v West Indies, 26/06/2023"
43,437,Annabel Sutherland,,"437 v Bangladesh, 21/03/2024"
44,435,Pooja Vastrakar,,"435 v South Africa, 16/06/2024"
45,428,Muneeba Ali,,"428 v England, 29/05/2024"
46,412,Richa Ghosh,,"412 v South Africa, 23/06/2024"
46,412,Naruemol Chaiwai,,"412 v Netherlands, 07/07/2023"
48,406,Saskia Horley,,"406 v Netherlands, 12/08/2024"
49,402,Yastika Bhatia,,"441 v England, 21/09/2022"
50,394,Kavisha Dilhari,,"402 v New Zealand, 03/07/2023"
51,380,Kathryn Bryce,,"396 v United States, 14/04/2024"
52,367,Babette de Leede,,"394 v Thailand, 26/11/2022"
53,357,Sophia Dunkley,,"482 v India, 18/09/2022"
54,355,Tanya Ruma,,"363 v Netherlands, 09/08/2024"
55,353,Vishmi Gunaratne,,"391 v Ireland, 16/08/2024"
56,345,Shafali Verma,,"447 v Sri Lanka, 07/07/2022"
57,343,Shemaine Campbelle,,"404 v Bangladesh, 18/03/2022"
58,342,Gamachchi Perera,,"347 v Ireland, 16/08/2024"
