Rank,Rating,Name,Career Best Womens T20 Rating,Career Best Womens T20 Ranking
1,778,Sophie Ecclestone,,"802 v New Zealand, 30/06/2024"
2,703,Kate Cross,,"703 v Ireland, 09/09/2024"
3,682,Megan Schutt,,"766 v West Indies, 11/09/2019"
4,671,Deepti Sharma,,"671 v South Africa, 23/06/2024"
5,639,Ashleigh Gardner,,"676 v West Indies, 08/10/2023"
6,621,Ayabonga Khaka,,"680 v New Zealand, 17/03/2022"
7,610,Hayley Matthews,,"671 v New Zealand, 25/09/2022"
8,605,Jess Jonassen,,"808 v New Zealand, 10/04/2021"
9,598,Charlotte Dean,,"614 v New Zealand, 30/06/2024"
10,593,Marizanne Kapp,,"749 v West Indies, 10/09/2021"
11,584,Nahida Akter,,"588 v Australia, 24/03/2024"
12,554,Jess Kerr,,"583 v England, 07/04/2024"
13,550,Alana King,,"568 v Bangladesh, 24/03/2024"
14,544,Nashra Sandhu,,"600 v Bangladesh, 14/03/2022"
15,542,Amelia Kerr,,"619 v England, 28/02/2021"
16,529,Lea Tahuhu,,"610 v Australia, 22/02/2019"
17,517,Natalie Sciver,,"580 v New Zealand, 26/09/2021"
18,512,Hannah Rowe,,"512 v England, 03/07/2024"
19,500,Iqbal,,"521 v West Indies, 21/04/2024"
20,492,Georgia Wareham,,"565 v India, 02/01/2024"
21,477,Nida Dar,,"526 v Bangladesh, 04/11/2023"
22,476,Udeshika Prabodhani,,"482 v Ireland, 16/08/2024"
23,475,Inoka Ranaweera,,"561 v Bangladesh, 04/05/2023"
24,465,Lauren Bell,,"474 v New Zealand, 03/07/2024"
24,465,Nadine Klerk,,"505 v Australia, 10/02/2024"
24,465,Kim Garth,,"465 v Bangladesh, 27/03/2024"
27,453,Afy Fletcher,,"527 v India, 06/11/2019"
28,446,Shamilia Connell,,"506 v England, 09/03/2022"
29,445,Nonkululeko Mlaba,,"459 v Bangladesh, 23/12/2023"
30,442,Kavisha Dilhari,,"445 v Ireland, 18/08/2024"
31,435,Arlene Kelly,,"464 v Sri Lanka, 18/08/2024"
32,420,Iris Zwilling,,"420 v Scotland, 12/08/2024"
33,418,Masabata Klaas,,"456 v Australia, 10/02/2024"
33,418,Oshadi Ranasinghe,,"431 v West Indies, 21/06/2024"
35,415,Renuka Singh,,"423 v Australia, 28/12/2023"
36,408,Achini Kulasuriya,,"408 v Ireland, 20/08/2024"
37,404,Diana Diana Baig,,"495 v Australia, 21/01/2023"
38,402,Chinelle Henry,,"421 v Pakistan, 23/04/2024"
39,400,Darcie Brown,,"433 v India, 28/12/2023"
40,395,Jahanara Alam,,"460 v New Zealand, 17/12/2022"
41,394,Sophie Devine,,"510 v India, 17/03/2009"
42,391,Fran Jonas,,"417 v England, 07/04/2024"
43,389,Sneh Rana,,"405 v Australia, 30/12/2023"
44,388,Fatima Sana,,"455 v Australia, 21/01/2023"
45,382,Pooja Vastrakar,,"382 v South Africa, 23/06/2024"
46,381,Umm-e-Hani,,"381 v England, 29/05/2024"
47,378,Laura Delany,,"397 v Zimbabwe, 23/01/2024"
48,376,Annabel Sutherland,,"431 v South Africa, 07/02/2024"
49,374,Khan,,"374 v Australia, 27/03/2024"
50,372,Chamari Athapaththu,,"372 v Ireland, 20/08/2024"
51,370,Cara Murray,,"389 v Zimbabwe, 23/01/2024"
52,367,Meghna Singh,,"393 v England, 18/09/2022"
52,367,Ellyse Perry,,"719 v West Indies, 05/09/2019"
54,365,Chloe-Lesleigh Tryon,,"388 v Australia, 10/02/2024"
55,364,Karishma Ramharack,,"364 v Sri Lanka, 21/06/2024"
56,349,Sultana Khatun,,"353 v Australia, 21/03/2024"
57,347,Ghulam Fatima,,"369 v New Zealand, 18/12/2023"
58,343,Sugandika Kumari,,"359 v West Indies, 18/06/2024"
59,342,Putthawong,,"341 v Netherlands, 07/07/2023"
60,334,Lauren Filer,,"334 v Ireland, 09/09/2024"
61,333,Abtaha Maqsood,,"333 v Netherlands, 12/08/2024"
62,332,Sibona Jimmy,,"332 v Scotland, 11/08/2024"
63,331,Josephine Nkomo,,"331 v Papua New Guinea, 28/03/2024"
64,329,Sarah Glenn,,"344 v New Zealand, 26/06/2024"
65,327,Georgina Dempsey,,"357 v Scotland, 17/10/2023"
66,317,Jane Maguire,,"317 v England, 09/09/2024"
67,314,Caroline de Lange,,"314 v Scotland, 12/08/2024"
67,314,Onnicha Kamchomphu,,"314 v Netherlands, 07/07/2023"
67,314,Shreyanka Patil,,"314 v South Africa, 23/06/2024"
70,313,Kelis Ndlovu,,"313 v Papua New Guinea, 28/03/2024"
71,312,Fahima Khatun,,"337 v South Africa, 20/12/2023"
72,310,Ava Canning,,"324 v Zimbabwe, 23/01/2024"
73,308,Nattaya Boochatham,,"309 v Netherlands, 07/07/2023"
74,302,Sophie Molineux,,"365 v India, 26/09/2021"
75,291,Aaliyah Alleyne,,"291 v Sri Lanka, 21/06/2024"
76,286,Tumi Sekhukhune,,"400 v West Indies, 19/09/2021"
77,279,Olivia Bell,,"279 v Netherlands, 12/08/2024"
78,278,Henao Thomas,,"288 v Netherlands, 09/08/2024"
78,278,Tahlia McGrath,,"346 v England, 05/03/2022"
80,277,Eva Lynch,,"277 v Scotland, 12/08/2024"
81,274,Nomvelo Sibanda,,"274 v Papua New Guinea, 28/03/2024"
81,274,Precious Marange,,"282 v Ireland, 23/01/2024"
83,270,Stafanie Taylor,,"768 v New Zealand, 10/10/2013"
84,269,Suleeporn Laomi,,"292 v Zimbabwe, 21/04/2023"
85,260,Marufa Akter,,"292 v Australia, 21/03/2024"
86,251,Inoshi Fernando,,"251 v Ireland, 20/08/2024"
86,251,Darcey Carter,,"251 v Papua New Guinea, 11/08/2024"
88,250,Katherine Fraser,,"257 v Netherlands, 08/08/2024"
89,243,Eliz-mari Marx,,"278 v Australia, 07/02/2024"
89,243,Freya Sargent,,"243 v England, 09/09/2024"
91,237,Sachini Nisansala,,"237 v Ireland, 20/08/2024"
91,237,Isabel Toua,,"248 v United States, 11/04/2024"
91,237,Orla Prendergast,,"237 v England, 09/09/2024"
94,234,Vicky Araa,,"265 v United States, 11/04/2024"
95,232,Chanida Sutthiruang,,"232 v Netherlands, 07/07/2023"
96,231,Kathryn Bryce,,"272 v Papua New Guinea, 12/04/2024"
97,225,Loreen Tshuma,,"235 v Ireland, 23/01/2024"
98,224,Eimear Richardson,,"361 v Pakistan, 22/08/2012"
99,222,Umaima Sohail,,"258 v Australia, 21/01/2023"
100,219,Radha Yadav,,"219 v South Africa, 23/06/2024"
