Rank,Rating,Name,Career Best Womens T20 Rating,Career Best Womens T20 Ranking
1,769,Beth Mooney,,"780 v England, 01/07/2023"
2,762,Tahlia McGrath,,"827 v India, 11/12/2022"
3,746,Hayley Matthews,,"746 v Sri Lanka, 28/06/2024"
4,743,Smriti Mandhana,,"743 v Sri Lanka, 28/07/2024"
5,736,Laura Wolvaardt,,"744 v Sri Lanka, 27/03/2024"
6,691,Chamari Athapaththu,,"705 v India, 28/07/2024"
7,689,Tazmin Brits,,"692 v India, 07/07/2024"
8,680,Alyssa Healy,,"725 v Sri Lanka, 02/10/2019"
9,674,Suzie Bates,,"769 v South Africa, 02/02/2020"
10,656,Sophie Devine,,"749 v Sri Lanka, 22/02/2020"
11,631,Shafali Verma,,"776 v South Africa, 23/03/2021"
12,617,Amelia Kerr,,"636 v England, 24/03/2024"
13,616,Harshitha Madavi,,"616 v Ireland, 13/08/2024"
13,616,Ashleigh Gardner,,"667 v England, 01/07/2023"
15,612,Nigar Sultana,,"613 v India, 28/04/2024"
16,608,Bosch,,"612 v Bangladesh, 03/12/2023"
17,607,Harmanpreet Kaur,,"706 v New Zealand, 06/02/2019"
18,606,Natalie Sciver,,"644 v West Indies, 26/09/2020"
19,599,Jemimah Rodriques,,"742 v New Zealand, 08/02/2019"
20,598,Danielle Wyatt,,"620 v India, 06/12/2023"
21,585,Gaby Lewis,,"585 v Sri Lanka, 13/08/2024"
22,582,Heather Knight,,"596 v West Indies, 28/09/2020"
23,577,Ellyse Perry,,"590 v India, 07/01/2024"
24,570,Richa Ghosh,,"587 v England, 18/02/2023"
25,568,Amy Hunter,,"611 v Vanuatu, 01/05/2024"
26,556,Maia Bouchier,,"586 v New Zealand, 06/07/2024"
27,554,Alice Capsey,,"563 v New Zealand, 11/07/2024"
28,548,Amy Jones,,"564 v Australia, 01/07/2023"
29,536,Tanya Ruma,,"540 v Zimbabwe, 02/04/2024"
30,530,Brenda Tau,,"545 v Samoa, 17/03/2023"
31,529,Kathryn Bryce,,"634 v Ireland, 27/08/2021"
32,526,Sophia Dunkley,,"611 v West Indies, 18/12/2022"
33,525,Deepti Sharma,,"549 v South Africa, 02/02/2023"
34,517,Orla Prendergast,,"521 v UAE, 25/04/2024"
35,516,Stafanie Taylor,,"770 v New Zealand, 14/05/2010"
36,505,Muneeba Ali,,"505 v Sri Lanka, 26/07/2024"
37,499,Nannapat Koncharoenkai,,"547 v Zimbabwe, 25/09/2022"
38,495,Grace Harris,,"495 v Bangladesh, 04/04/2024"
39,491,Nattakan Chantam,,"610 v Pakistan, 06/10/2022"
40,489,Nida Dar,,"509 v Ireland, 16/11/2022"
41,478,Mary-Anne Musonda,,"499 v Ireland, 29/04/2024"
42,471,Sarah Bryce,,"605 v Netherlands, 07/09/2019"
43,470,Rebecca Blake,,"508 v Greece, 05/09/2023"
44,469,Modester Mupachikwa,,"571 v Eswatini, 11/09/2021"
45,461,Marizanne Kapp,,"498 v Pakistan, 18/05/2019"
46,454,Lucy Barnett,,"454 v Greece, 25/08/2024"
47,453,Sune Luus,,"502 v Bangladesh, 08/12/2023"
48,445,Murshida Khatun,,"553 v India, 08/10/2022"
49,438,Chloe-Lesleigh Tryon,,"521 v Pakistan, 15/05/2019"
49,438,Naruemol Chaiwai,,"555 v Scotland, 08/08/2019"
51,431,Maddy Green,,"461 v Pakistan, 03/12/2023"
52,430,Aliya Riaz,,"445 v New Zealand, 05/12/2023"
53,424,E.R. Oza,,"495 v Nepal, 24/06/2022"
54,423,Nadine Klerk,,"436 v India, 05/07/2024"
55,422,Theertha Satish,,"531 v Scotland, 23/09/2022"
56,421,Laura Delany,,"435 v West Indies, 26/05/2019"
56,421,Chipo Mugeri,,"514 v Uganda, 21/04/2022"
58,418,Nilakshi de Silva,,"452 v West Indies, 24/06/2024"
59,417,Vishmi Gunaratne,,"449 v Thailand, 24/07/2024"
60,413,Sharne Mayers,,"592 v Thailand, 25/04/2023"
61,392,Sidra Ameen,,"397 v India, 19/07/2024"
62,391,Gull Feroza,,"391 v Sri Lanka, 26/07/2024"
63,385,Kavisha Egodage,,"447 v Tanzania, 19/04/2023"
64,384,Naoani Vare,,"419 v Samoa, 04/09/2023"
64,384,Phoebe Litchfield,,"457 v India, 09/01/2024"
66,377,Kelis Ndlovu,,"460 v Ireland, 02/02/2024"
67,367,Sterre Kalis,,"487 v Ireland, 12/08/2019"
68,366,Shemaine Campbelle,,"366 v Sri Lanka, 28/06/2024"
69,356,Josephine Nkomo,,"365 v UAE, 07/09/2024"
70,353,Deepika Rasangika,,"365 v Saudi Arabia, 22/03/2022"
71,342,Rachel Andrew,,"416 v Cook Islands, 19/01/2024"
72,340,Chanida Sutthiruang,,"459 v Bangladesh, 23/09/2022"
73,339,Fatuma Kibasu,,"471 v Germany, 13/06/2022"
74,338,Sakarini,,"361 v Fiji, 05/09/2023"
75,337,Salma Khatun,,"479 v England, 17/03/2016"
