Rank,Rating,Name,Career Best Womens T20 Rating,Career Best Womens T20 Ranking
1,772,Sophie Ecclestone,,"801 v South Africa, 24/02/2023"
2,760,Sarah Glenn,,"768 v New Zealand, 13/07/2024"
3,755,Deepti Sharma,,"759 v Bangladesh, 26/07/2024"
4,743,Iqbal,,"743 v Sri Lanka, 26/07/2024"
5,722,Renuka Singh,,"737 v Sri Lanka, 15/10/2022"
6,703,Hayley Matthews,,"718 v Pakistan, 30/04/2024"
7,694,Fran Jonas,,"709 v Pakistan, 05/12/2023"
8,691,Inoshi Fernando,,"733 v Bangladesh, 20/07/2024"
9,690,Lauren Bell,,"704 v Pakistan, 17/05/2024"
10,677,Khan,,"705 v Thailand, 22/07/2024"
11,673,Charlotte Dean,,"730 v New Zealand, 27/03/2024"
12,668,Nashra Sandhu,,"717 v Bangladesh, 29/10/2023"
13,665,Radha Yadav,,"769 v West Indies, 20/11/2019"
14,657,Darcie Brown,,"737 v India, 23/02/2023"
15,652,Ashleigh Gardner,,"702 v Bangladesh, 14/02/2023"
16,645,Nonkululeko Mlaba,,"770 v New Zealand, 13/02/2023"
17,644,Afy Fletcher,,"710 v Australia, 16/09/2019"
18,641,Megan Schutt,,"805 v England, 26/07/2019"
19,640,Eden Carson,,"695 v Pakistan, 09/12/2023"
20,631,Georgia Wareham,,"688 v New Zealand, 28/03/2021"
21,615,Amelia Kerr,,"740 v Australia, 02/03/2020"
22,607,Udeshika Prabodhani,,"661 v Bangladesh, 01/04/2014"
23,606,Lea Tahuhu,,"712 v Sri Lanka, 10/07/2023"
24,605,Annabel Sutherland,,"605 v Bangladesh, 04/04/2024"
25,604,Pooja Vastrakar,,"621 v UAE, 21/07/2024"
26,597,Nahida Akter,,"633 v Ireland, 14/07/2018"
27,595,Sugandika Kumari,,"601 v Ireland, 11/08/2024"
28,587,Shabnim Ismail,,"781 v India, 20/03/2021"
29,578,Marufa Akter,,"606 v Sri Lanka, 20/07/2024"
30,568,Kavisha Dilhari,,"586 v Scotland, 27/04/2024"
31,566,Inoka Ranaweera,,"709 v India, 25/09/2023"
32,564,Nida Dar,,"651 v West Indies, 31/01/2019"
32,564,Arlene Kelly,,"666 v West Indies, 06/07/2023"
34,561,Karishma Ramharack,,"618 v Pakistan, 28/04/2024"
35,554,Fatima Sana,,"605 v West Indies, 02/05/2024"
36,540,Jess Jonassen,,"739 v New Zealand, 28/03/2021"
37,539,Alana King,,"652 v Sri Lanka, 16/02/2023"
